0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
5.2313366152762006e+20,5.4770475467074155e+20,5.5649071702535386e+20,5.2964729756229796e+20,4.4542024733011516e+20,-8.187718726056886e+18,1.3809545181664343e+20,1.3807347305103226e+20,-2.019520642214404e+20,-2.2448175164097328e+20,2.979747106662579e+20,-4.203102568529303e+19,-1.0588261655414063e+20,1.0802845627281829e+20,-5.306265510815875e+19,-1.081665710539013e+20,-6.4224126294931235e+19,-1.497267873329175e+20,-1.2460442252085648e+20,-7.193579320228026e+19,2.3248010100299686e+19,2.100882104876893e+20,2.0166481274689916e+20,3.767608901857126e+20,2.6433884149138666e+20,1.9318851846037147e+20,3.589401827047835e+20,6.530387964115017e+20,9.135147050772344e+19,7.669213007266324e+19,3.390278584580978e+20,3.9188313195744186e+20,-3.008109388900772e+20,5.204770722160135e+20,6.394001763288984e+20,4.546417245800356e+20,-9.093098572765338e+19,5.291322963305531e+19,-2.345096986287652e+20,5.497433895507651e+20,6.404236471482e+20,4.4713643157648907e+20,4.831849323323094e+20,1.4710789810429608e+20,8.804873236640526e+20,3.843416254829434e+20,-3.0386802630053982e+19,7.394423724298882e+19,4.7298793562959754e+20,1.0495025393004082e+20,-2.100899666280411e+19,-6.809348613537413e+19,-1.242280575088036e+19,4.2162412215568105e+19,-6.2776722434554936e+16,-5.475177333145186e+19,5.343234210327862e+18,1.5808825293297508e+19,1.7226013387353614e+19,4.881785446052471e+19,6.559459950383407e+19,4.316825892477721e+19,9.038815547712358e+19,1.0852928033859196e+20,1.0322131210326909e+20,1.2803718476835671e+20,-7.009972563234846e+19,-5.18280713143629e+19,7.43483836445718e+19,-4.750955916902275e+19,9.158911339126876e+19,2.256215166325113e+20,3.581630085978484e+20,2.7048357607210975e+20,5.049722204837825e+20,-7.543613253548143e+19,3.568923428026272e+19,8.420169542013852e+19,4.8136079600986266e+20,1.56090858722036e+20,-4.9137078847402895e+20,2.678285288449776e+20,-2.4657023053412457e+20,2.935808128190546e+20,-2.6770273205568107e+20,8.832071772694983e+19,-3.58350142142028e+20,1.3368068545337128e+20,4.6115163135647207e+20,-4.456196020698042e+20,6.798432514970177e+20,1.076823344718785e+20,6.272737512709943e+20,1.4037226580297417e+20,6.475288835305379e+20,4.7477998075838307e+20,5.995465834189141e+20,-4.092400011092399e+19,6.596282405368071e+20,1.3867127061776348e+20,9.721799385599619e+20,2.19777812144506e+20,1.2278045335557678e+21,9.696613705433872e+20,8.675300890693074e+20,7.480346467836527e+20,1.0555636741120569e+21,5.500725061559034e+20,6.892331998233437e+20,3.684233422040955e+20,2.5315943185482344e+20,3.250813171186621e+20,3.7273924219142445e+20,4.9169660030398385e+20,6.072386682435312e+20,7.121029553836413e+20
5.4770475467074155e+20,6.130809695641718e+20,5.867269915918444e+20,5.1988619966241427e+20,4.674983256588683e+20,-1.0487145667865035e+20,1.0226191451920676e+20,1.2310030996843476e+20,-2.756294643386133e+20,-2.946394946394965e+20,2.642268423570343e+20,-3.6352145147362886e+19,-1.2260769882613611e+20,1.084426536883424e+20,-1.3300586348471807e+20,-1.0735991599979341e+20,-1.4089127205725189e+20,-1.843399612431394e+20,-1.0824607609774262e+20,-1.4820851161022736e+20,-5.910552588683597e+19,7.078030056773264e+19,3.981638433194473e+19,1.7369352222837326e+20,1.1926273539659919e+20,7.599952206456583e+19,1.8388762843075746e+20,4.946594996541383e+20,-2.0986115709779802e+18,-1.999326638396424e+19,2.79587416176297e+20,2.62920626157896e+20,-3.630738674295983e+20,4.9101102299291825e+20,5.995984469799594e+20,5.080966487850781e+20,-1.2791025211951202e+20,-3.843284148075518e+19,-3.2629746579638714e+20,5.4323082731057676e+20,6.985325840286549e+20,3.761621989839834e+20,4.37688781638028e+20,3.921923846583078e+19,7.986370708967438e+20,3.437355111311386e+20,-1.1021619224910402e+20,1.0103369128850429e+20,5.7279784062323045e+20,5.686692545896182e+19,-2.8681905415982244e+19,-8.974303657344249e+19,-2.3411573487236526e+19,6.1355634985269666e+19,-8.085770178370695e+18,-4.479617301871776e+19,-7.645918401241329e+18,1.3828385798734825e+19,-1.88231749933701e+18,1.239384865330326e+18,-6.809130563606573e+18,7.045462286363359e+18,4.888078744385826e+19,1.868799721581785e+19,6.291023448108838e+18,3.522112739616077e+19,-1.357155529085612e+20,-7.103507158213556e+19,1.0058615407719275e+20,-7.209956108919545e+19,1.28762936637976e+20,2.863253350100426e+20,3.8707209851116487e+20,3.388222484054947e+20,5.178843650201888e+20,-9.425225671171883e+19,-2.1030225224020255e+19,1.2646131317934549e+20,4.1245692022189444e+20,2.108092113506302e+20,-5.162405658744483e+20,3.329941644399957e+20,-3.274657383679779e+20,3.526272839046216e+20,-3.5145140357825305e+20,1.340946650283065e+20,-4.290221895901121e+20,1.866809205923727e+20,4.138543991923854e+20,-5.2766294158252586e+20,4.587400433423442e+20,5.282761714597418e+19,4.830501355341024e+20,8.23648520808667e+19,5.22173034032815e+20,5.695119758544367e+20,4.436898049519064e+20,-1.5836011001048223e+20,4.665102816994429e+20,4.081661341629657e+19,7.679720469413339e+20,1.536002191775712e+20,1.1124415174606495e+21,8.724947238361605e+20,7.34651488126188e+20,6.011399154448185e+20,1.0069628595634011e+21,6.390215917631139e+20,5.60120199979179e+20,2.2166841871195298e+20,1.1231010046624276e+20,1.7853933277063853e+20,2.2743142339356056e+20,3.488990785232212e+20,4.5482251320059776e+20,5.6897416129552456e+20
5.5649071702535386e+20,5.867269915918444e+20,6.145606140731007e+20,5.6816661137281974e+20,5.349030581135605e+20,2.2686625391495586e+19,1.5190098331931653e+20,1.7975146466657963e+20,-2.255171695288426e+20,-2.6037199796706276e+20,2.806759908466513e+20,-4.134171266239011e+19,-1.2173739469271142e+20,1.35717935697893e+20,-2.7140152397976785e+19,-1.3408603299040895e+20,-8.981173607576453e+19,-1.865523344895563e+20,-1.6463051470552364e+20,-1.1772699832863521e+20,3.172661073666473e+18,1.942487386321095e+20,1.8315531366174147e+20,3.6888382820025624e+20,2.4788324129808466e+20,1.7454728066368206e+20,3.448283487215551e+20,6.891742663841941e+20,1.2986614282935458e+20,1.13114592774776e+20,3.492697250354316e+20,4.2910227397330246e+20,-2.884698084506153e+20,5.665076309939627e+20,6.762397041425522e+20,4.8221858278432263e+20,-1.1610269896379344e+20,3.0492151298367726e+19,-2.4683598587846944e+20,5.948492584676199e+20,6.811301261226824e+20,4.524765544386828e+20,4.964530719599587e+20,1.0255981605474897e+20,9.019843257154265e+20,4.1427547210603817e+20,-2.246126758822103e+19,6.718940193715113e+19,5.0929759614726753e+20,5.714723300767062e+19,-2.703945107488031e+19,-7.900018592856521e+19,-1.0878088796316156e+19,4.324714641219619e+19,3.150462766259596e+18,-5.250846867410643e+19,7.052694102332655e+18,1.855582172257197e+19,1.8311509551119161e+19,3.801014730268751e+19,6.317743730841296e+19,4.5789710297163555e+19,8.963311580968067e+19,1.0336635426657847e+20,9.316749380714586e+19,1.2222858962136282e+20,-7.61315625502193e+19,-5.651334000566696e+19,8.076218810964969e+19,-5.559105999117473e+19,9.848865318695879e+19,2.173408122185486e+20,3.395470983272542e+20,2.767494240471095e+20,5.1021710741629154e+20,-9.255379891002419e+19,2.2390898825431286e+19,7.714028026945934e+19,5.151860380267292e+20,1.646263370880825e+20,-5.1609274942947466e+20,2.6451947464367863e+20,-2.8369497925397676e+20,2.801466623943725e+20,-2.9256721305772917e+20,7.641651042310944e+19,-3.84719093825889e+20,1.2166113600514053e+20,4.9864832116628305e+20,-4.736907012371936e+20,7.135435224575571e+20,1.1040148275323984e+20,6.250341606299906e+20,1.5451435597700773e+20,6.471039192672293e+20,4.6046068150398406e+20,6.028581669021268e+20,-4.3494761883838554e+19,6.659005074478456e+20,1.3775518371338504e+20,1.0036525042873435e+21,2.2903744712208446e+20,1.2686967732062375e+21,1.0148759290774015e+21,8.635743419831028e+20,7.530676053971829e+20,1.1020879112964576e+21,5.6337659364865933e+20,6.723286454173802e+20,3.505886549880365e+20,2.381211391609521e+20,3.187034824387194e+20,3.711725800725337e+20,4.921243320583926e+20,6.081796747389528e+20,7.07012242578618e+20
5.2964729756229796e+20,5.1988619966241427e+20,5.6816661137281974e+20,5.710739900427909e+20,4.7245281884993874e+20,9.018115891109305e+19,1.8124837125045823e+20,1.713929053150275e+20,-1.523194873619613e+20,-1.8145635396750636e+20,3.331928033543783e+20,-4.868553472350974e+19,-9.995561701525376e+19,1.1941242646071794e+20,2.3001385207444414e+19,-1.1854766508931177e+20,-3.2379984757122115e+18,-1.299557871288231e+20,-1.501173283985778e+20,-1.2454662045521555e+19,8.955586844699217e+19,3.25935107708646e+20,3.4320450802957084e+20,5.5152416596431e+20,3.856215542287133e+20,2.8842934320966192e+20,5.110831168591551e+20,8.21907833948233e+20,1.8999132636223232e+20,1.7539708979135178e+20,4.037137670958821e+20,5.2960457668280674e+20,-2.5246066225187622e+20,5.8231315253795206e+20,7.095805569029923e+20,4.313248997687528e+20,-6.927417727249303e+19,1.2687260427961875e+20,-1.6500124550081718e+20,5.904151489627445e+20,6.23149402148313e+20,5.299846476721239e+20,5.466833717259021e+20,2.3595715805237687e+20,9.922301948518346e+20,4.463614935579703e+20,4.629346269280542e+19,4.84651710087953e+19,4.045000864599902e+20,1.3542932272460266e+20,-1.6560538612775852e+19,-5.426119538840578e+19,-2.1458410013767393e+18,2.603123346699352e+19,7.618299609758131e+18,-6.005008962617449e+19,1.5799935066341317e+19,1.644958050679187e+19,3.098676969972201e+19,8.577946601746702e+19,1.2175467361503894e+20,6.875022969487343e+19,1.2093927647852374e+20,1.7859505163033267e+20,1.8001316637751925e+20,2.0075494375601036e+20,-2.492938147188954e+19,-3.654232696467318e+19,5.411143451863994e+19,-3.212552994263052e+19,7.090089321583971e+19,1.768184635528792e+20,3.397455442605371e+20,2.2400251558396976e+20,5.1220023919974305e+20,-6.6803748667115856e+19,8.02940989034285e+19,4.583371276204052e+19,5.710263518497764e+20,1.167492643697207e+20,-4.952489137053105e+20,2.1779566078032547e+20,-1.9420773518641378e+20,2.4338794274580834e+20,-2.1008174679781258e+20,4.487260991269543e+19,-3.162783971881076e+20,8.516689849114865e+19,5.3319132250265544e+20,-3.9587392092890726e+20,8.884180413360355e+20,1.4609606600374814e+20,7.662164291458818e+20,1.8091414886593924e+20,7.800254754978304e+20,4.176479585624669e+20,7.550435747586064e+20,4.7727496911301255e+19,8.426168336381098e+20,2.146542309694405e+20,1.1809768485676895e+21,2.6639968391715845e+20,1.3701014843868376e+21,1.0682050470302742e+21,1.0125909329207967e+21,8.981061041895296e+20,1.1492118588477937e+21,5.1476534549528694e+20,8.227073955258811e+20,5.014576892929778e+20,3.733504401097603e+20,4.4993026291127504e+20,4.9683317935321455e+20,6.209548207212187e+20,7.533188158931649e+20,8.575555610672303e+20
4.4542024733011516e+20,4.674983256588683e+20,5.349030581135605e+20,4.7245281884993874e+20,5.6356075934964475e+20,1.436746808075966e+20,1.5794799909872907e+20,2.283039070150796e+20,-1.6678927471119263e+20,-2.2571683545083776e+20,1.86361337385706e+20,-2.5645218883435454e+19,-1.1683026521076638e+20,1.6841528014651435e+20,9.482695140587525e+19,-1.7170513154385907e+20,-1.1155591784417817e+20,-2.231520389643807e+20,-2.3652388647877404e+20,-1.8015455970543704e+20,-4.127439635182212e+19,1.10524830831393e+20,1.1158344470219432e+20,2.616737982322445e+20,1.458375856333165e+20,8.306701407389046e+19,2.2756025974614724e+20,6.236090088913771e+20,2.3888509830362785e+20,2.2021545449757517e+20,2.889798276735881e+20,4.503999745829835e+20,-1.2140070323834832e+20,5.083808214603439e+20,5.732268600185234e+20,3.7372974928247207e+20,-1.2963697882544282e+20,-3.3231330729345974e+19,-1.4362818331952623e+20,5.193000108312244e+20,5.6398923843495985e+20,3.542320867899488e+20,3.969923567869638e+20,1.370503507774892e+19,7.024312311476854e+20,3.7026575655998554e+20,6.20972708814055e+18,5.511445623975998e+19,5.006328307137174e+20,-3.41615544667563e+19,-3.370524365362268e+19,-7.56293197529584e+19,-1.671600729867359e+18,4.768306279955136e+19,2.1155531376465318e+19,-1.276152841786276e+19,-3.0413368145544407e+18,2.594286475155485e+19,7.053499315578566e+18,-1.5868667121373385e+19,3.4674301369685287e+19,2.869839816814081e+19,5.6920791830637896e+19,4.694053145827758e+19,3.917724237505385e+19,5.10648301833346e+19,-1.2915452054810657e+20,-6.988438811912544e+19,1.0049492480428809e+20,-9.917818180962275e+19,1.4407986200834938e+20,1.9069195411470352e+20,2.7259203662086878e+20,2.7494899692333285e+20,3.784975696126075e+20,-9.67822301773646e+19,-3.773341534793632e+19,5.905623400994561e+19,4.7245770750610257e+20,1.8259098257224014e+20,-4.00736267778875e+20,2.290924026166424e+20,-2.408348587696464e+20,1.983143690165968e+20,-2.1312878138758536e+20,4.68804103141538e+19,-2.9085464257656783e+20,8.493275299679307e+19,4.590742850600918e+20,-4.5628040135121175e+20,6.242477049738345e+20,5.03437086546658e+19,4.7130712563794896e+20,9.760603770564252e+19,4.805788932155996e+20,4.2285226999114996e+20,4.604721023368323e+20,-1.1725030953179474e+20,5.21106721772456e+20,5.278561651423811e+19,8.740557614787424e+20,1.2708818422452172e+20,1.1298115783250168e+21,8.710276586105363e+20,6.343365407639981e+20,5.5015270981838255e+20,9.298394846024823e+20,5.67890352395874e+20,4.670519135190981e+20,1.9560084416569105e+20,1.1631033508065888e+20,1.969615599148305e+20,2.438133204966115e+20,3.2766772866091175e+20,4.2274329364232746e+20,5.049334362534992e+20
-8.187718726056886e+18,-1.0487145667865035e+20,2.2686625391495586e+19,9.018115891109305e+19,1.436746808075966e+20,4.0719621108743615e+20,1.5639786751222602e+20,1.5102580687891595e+20,1.967659921485133e+20,1.4320846260840415e+20,1.0207215139761188e+20,-6.339413873724895e+18,4.03761103869477e+18,9.183344240059941e+19,3.562966987983899e+20,-1.1120229145757439e+20,1.1225185881492754e+20,-4.507951370400797e+19,-2.0821525457113327e+20,5.208897616415784e+19,1.2217023840448795e+20,2.7074713219836173e+20,3.421281620706089e+20,4.459830863065531e+20,2.8232704476564944e+20,2.0345925062526095e+20,3.6978607416830715e+20,5.613032536030573e+20,4.2908870442444856e+20,4.259921728438992e+20,2.0399097427805582e+20,5.165941109102223e+20,2.7618599931747988e+20,1.9756274805533186e+20,2.1917762694121125e+20,-9.724331565816149e+19,3.3668258416114352e+19,1.2175246902606974e+20,2.8952212154305125e+20,1.3180234079731673e+20,-2.1108850201655652e+19,2.2450679443399547e+20,1.7827746327129912e+20,2.1656103923498454e+20,2.833457036675474e+20,1.8818599805278965e+20,1.8729240496723014e+20,-1.2912668503388584e+19,4.714399889315797e+19,6.710213784424526e+19,-1.8814387748309517e+18,2.5826270750613533e+19,3.129758508509106e+19,9.208650159825516e+17,5.223506687288224e+19,2.7438582480347685e+19,4.733366292366039e+18,2.9216410758836105e+19,2.5840201124865802e+19,2.8767267756404466e+19,1.3554617814380593e+20,6.2850421137774944e+19,7.938818485217508e+19,1.4340203045318228e+20,1.6829044571076867e+20,1.3096562950844994e+20,-2.4747264160413e+19,-2.1664201798206382e+19,3.513087164368751e+19,-6.727826195707856e+19,7.872181081519725e+19,-1.3732149648325573e+18,8.78837955429521e+19,3.9587061578591584e+19,1.8078531818553346e+19,1.1859267544591294e+19,2.829689459582031e+19,-4.986952886773249e+19,3.131562957705569e+20,2.6531454191728517e+19,2.1782899525497446e+19,-1.1945105722006438e+19,1.711867899626145e+20,-6.7254882214706086e+19,2.2056464927572758e+20,-6.995149257546909e+19,1.6516964732086537e+20,-6.81194317249984e+19,2.519402537390294e+20,-5.847455556577381e+19,6.593660642894422e+20,4.984436210068981e+19,3.909286151800689e+20,6.2110125253655175e+19,3.293857490188328e+20,9.144832025260481e+19,4.063189599130965e+20,4.48781109511569e+19,5.15026861447613e+20,1.077492380098251e+20,7.474944713256648e+20,4.288851451688749e+19,7.12139345772736e+20,4.729062139478546e+20,3.646237366504249e+20,3.4929953807099036e+20,3.455927089300163e+20,1.8774824015890098e+20,3.119629597707077e+20,2.3722451222437498e+20,2.159731544448419e+20,2.6229673622730673e+20,2.7064947192451144e+20,2.584225248243269e+20,3.09720409793107e+20,3.3939492266057446e+20
1.3809545181664343e+20,1.0226191451920676e+20,1.5190098331931653e+20,1.8124837125045823e+20,1.5794799909872907e+20,1.5639786751222602e+20,1.0283743005118341e+20,8.845500321435212e+19,2.92186777224621e+19,7.24647262678149e+18,1.3815323054408542e+20,-1.5950105290731878e+19,-2.4693907931689705e+19,5.693881886343554e+19,1.1810933895946207e+20,-6.3076552000674e+19,4.192445728557004e+19,-3.86772255544914e+19,-9.567450297057765e+19,3.3385837647081767e+19,6.537475807323495e+19,1.7777113120802777e+20,2.1437280968287168e+20,2.9377915655954573e+20,1.9797703971847183e+20,1.4549606380178119e+20,2.610141337262318e+20,4.0771044108276675e+20,1.8772635624132565e+20,1.8104996828601372e+20,1.78023854373466e+20,3.135601150940927e+20,1.836512353996328e+19,2.2166230720503362e+20,2.6753007905696616e+20,8.306430994539543e+19,-3.0163160424130156e+18,7.477119472082235e+19,5.4953472687183225e+19,2.0094308488094643e+20,1.6318343484028204e+20,2.2663076814201517e+20,2.141672027218737e+20,1.5396315632517143e+20,3.702685740442941e+20,1.816241059901383e+20,6.929649787546449e+19,1.6449159652980496e+19,1.3818041801374663e+20,7.745713759638374e+19,-4.005670679770938e+18,-6.589334110919211e+18,9.021331780262691e+18,1.100804438680507e+19,1.9964538114954514e+19,-3.4556914883985413e+18,1.5896459090374574e+18,1.4108950208833284e+19,1.3117232996133063e+19,2.9116247315236307e+19,7.192883994973804e+19,3.311359486899874e+19,5.593521420734194e+19,8.805225603279769e+19,1.0025478768614525e+20,8.86291353082982e+19,-3.1402611327560733e+19,-2.066116208682119e+19,3.1669590049256284e+19,-3.8451905629219774e+19,5.867981537188979e+19,6.621803975269729e+19,1.4809208095715826e+20,9.219811611890637e+19,1.542981999303874e+20,-1.0961225065855633e+19,2.6496578233720214e+19,4.3416103000834125e+18,2.6045871327766905e+20,5.212676700112206e+19,-1.2892700814442398e+20,7.245159205368841e+19,1.411972892080873e+19,5.896401891785246e+19,2.230279029753224e+19,-1.3062209155117489e+18,-2.748270096653279e+19,1.241621634499117e+19,2.2764356316300994e+20,-1.4326885056019689e+20,4.45214289350304e+20,4.371174825853415e+19,3.455379180370779e+20,4.918314331743949e+19,3.2809496794097274e+20,1.9059855069036937e+20,3.425678052610959e+20,1.6516438568486715e+18,3.993254893239017e+20,7.839820998037329e+19,5.773934332229676e+20,6.584762445223959e+19,6.340515329578255e+20,4.407913352301038e+20,4.119046738301527e+20,3.6025108683843745e+20,4.297644813876568e+20,2.4174592280373517e+20,3.4074319847907905e+20,2.1261313898980796e+20,1.6641360545732752e+20,2.002632408689421e+20,2.139368794529528e+20,2.4429387964349055e+20,3.0223867722005584e+20,3.514249212280551e+20
1.3807347305103226e+20,1.2310030996843476e+20,1.7975146466657963e+20,1.713929053150275e+20,2.283039070150796e+20,1.5102580687891595e+20,8.845500321435212e+19,1.1748453295592009e+20,-7.208064668796078e+18,-4.269117851384042e+19,7.107489412856892e+19,-8.812890207578297e+18,-4.072040213330008e+19,8.434398725587132e+19,1.2631189139615326e+20,-9.214965035477782e+19,-1.9854366935226466e+19,-9.768064769689933e+19,-1.4200303211595728e+20,-6.523223846022872e+19,9.588941578726482e+18,9.003191166923833e+19,1.0414965408150923e+20,1.7791385550192325e+20,1.0318211784823933e+20,6.549580305150262e+19,1.480585436246035e+20,3.292650993818479e+20,1.897476169739244e+20,1.832941629948571e+20,1.3951168163747188e+20,2.7115961839887162e+20,3.515068813328139e+19,2.129056051658792e+20,2.3233817480204816e+20,9.35649015805035e+19,-3.8003834373100814e+19,1.138243454493806e+19,2.5024688311526322e+19,1.9718820179803888e+20,1.704219957857431e+20,1.5800314679466495e+20,1.6173040263167597e+20,4.089224067043706e+19,2.7753082120768422e+20,1.633963990471865e+20,5.1591154849883546e+19,8.795160898473675e+18,1.6298453244705957e+20,-1.1512699765266985e+19,-1.1724751899083194e+19,-2.1388370976573858e+19,7.693677162984719e+18,1.355170116773157e+19,1.944406372075312e+19,3.1466972303182725e+18,8.122269256228779e+16,1.44311338381443e+19,7.28931736731131e+18,-1.046227494647718e+18,4.025059651869414e+19,2.2149317308288508e+19,3.3308930831879553e+19,4.413058871502499e+19,4.708424656985379e+19,4.180025219561278e+19,-4.703976508628467e+19,-2.5964065294570738e+19,3.840602620311185e+19,-4.79908951416436e+19,6.4404936556651676e+19,5.004203364382844e+19,9.184303739666709e+19,8.963765173428804e+19,1.1425127402439408e+20,-3.1239986586133144e+19,-8.557705313685225e+18,1.1502704966767395e+18,2.2542115212755147e+20,6.113340239784129e+19,-1.2026106604493439e+20,5.992773187535891e+19,-4.068509830120885e+19,3.291205336399939e+19,-1.668684516230519e+19,-9.178099357399684e+18,-5.345627912735785e+19,1.771343891023526e+18,2.06464674924363e+20,-1.5506482416461336e+20,3.5205045341554305e+20,2.336051665064402e+19,2.283304846329173e+20,4.2668583606279135e+19,2.1547914942765167e+20,1.3880573035656946e+20,2.3000199362755435e+20,-2.5978864553713283e+19,2.7436075403072658e+20,3.728887265173328e+19,4.410523843380006e+20,4.466944482481226e+19,5.0477285359686124e+20,3.699670252852127e+20,2.6890357644328413e+20,2.425558427605585e+20,3.5746225687511446e+20,2.1376402033278573e+20,2.0121618144922803e+20,1.0570523990581299e+20,7.859434224728395e+19,1.1546318557527509e+20,1.3262123258928197e+20,1.547105892043866e+20,1.9474581535787277e+20,2.229593332169174e+20
-2.019520642214404e+20,-2.756294643386133e+20,-2.255171695288426e+20,-1.523194873619613e+20,-1.6678927471119263e+20,1.967659921485133e+20,2.92186777224621e+19,-7.208064668796078e+18,2.1624312634365582e+20,1.9923170006719326e+20,-1.6255232005552902e+19,6.633288627246312e+18,5.071004741577783e+19,-5.301473743394408e+18,2.1306764833473466e+20,-2.1757280768998367e+19,8.888610927969349e+19,1.688820648505033e+19,-9.467936031796768e+19,2.860689605755706e+19,9.525463755320818e+19,1.1070183133551334e+20,1.0988812800445979e+20,1.3878050702763994e+20,1.22995942231377e+20,9.798073432717425e+19,1.3995704715673438e+20,1.082628182503832e+20,1.9352269745889726e+20,2.0846886342368264e+20,3.5955438388650082e+19,1.6664620648203125e+20,2.284039675695309e+20,-8.72905870753991e+19,-1.0536031537705057e+20,-2.306119015602621e+20,8.477946423111169e+19,9.667086115738224e+19,2.5897090962630063e+20,-1.4746674033588842e+20,-2.7060372802122934e+20,-9.563275711901624e+18,-6.020470186686512e+19,1.4428234460101935e+20,-1.2669525357953863e+20,-4.220953573562114e+19,1.2408755284330049e+20,-3.74950851495616e+19,-2.121162975752725e+20,6.420897266839741e+19,1.6865613732049322e+19,4.57233258339316e+19,2.0985000504887927e+19,-2.335138812752866e+19,2.311905349335928e+19,8.237603556097345e+18,1.3367914004558397e+19,8.779263378157153e+18,2.2845199736541954e+19,3.769099689577595e+19,8.689053172604294e+19,4.234481805220734e+19,4.2769518270329184e+19,9.163803654930478e+19,1.0349260780157904e+20,8.495489941899313e+19,6.242819840279907e+19,1.970856782892083e+19,-2.557601988293952e+19,9.602259750301733e+18,-2.822189081173581e+19,-9.335233834291375e+19,-6.9191934279547445e+19,-1.1291681174545985e+20,-1.569270768766891e+20,5.301317443802827e+19,4.72883341994013e+19,-6.3033824819484525e+19,2.309120425695882e+18,-7.44331241919457e+19,1.872592036747299e+20,-1.2027780485101032e+20,2.2332594958507386e+20,-1.399240443029382e+20,2.417998709921679e+20,-7.049322852504633e+19,2.3804690338534942e+20,-8.794377491457491e+19,-4.426604702511854e+19,1.671369667533431e+20,1.9471927322991588e+20,3.5154140852547965e+19,4.558951940195355e+19,3.034323302210413e+19,-3.909931857822329e+18,-1.7024478446248604e+20,6.073322414687906e+19,1.1452275429478641e+20,1.089242269111555e+20,7.678129161035253e+19,1.0027049014929606e+20,1.4817736666909477e+19,-6.383106267182939e+19,-4.792144329425735e+19,-4.275380479274147e+19,-2.127667428991304e+18,-2.385255091435311e+20,-1.8512529384909626e+20,-1.1421950661546963e+19,7.806098522442546e+19,1.0491518617733957e+20,1.0496029584549113e+20,9.47143962786994e+19,4.904383953191081e+19,3.2520364095987634e+19,-9.162957792915601e+17
-2.2448175164097328e+20,-2.946394946394965e+20,-2.6037199796706276e+20,-1.8145635396750636e+20,-2.2571683545083776e+20,1.4320846260840415e+20,7.24647262678149e+18,-4.269117851384042e+19,1.9923170006719326e+20,2.0313865929908247e+20,-2.2495776267319656e+19,6.376900983755728e+18,6.515045996478723e+19,-4.320476385902014e+19,1.4149572742658918e+20,3.354892515960913e+19,1.3110841977783476e+20,9.843763034002054e+19,1.1959991959474369e+19,1.3304792099732557e+20,1.0831539014819468e+20,1.211225322263756e+20,1.5352791593504683e+20,1.4737166525955142e+20,1.1714761300985666e+20,1.0051289686521717e+20,1.2860378789068941e+20,1.792819218867769e+19,1.0962443902585016e+20,1.2003579191661761e+20,-1.6095066916939414e+19,6.855371592398543e+19,1.971846845620946e+20,-1.426106980503407e+20,-1.5744501917330932e+20,-2.4120661721722952e+20,9.543228733355991e+19,1.0951764825823968e+20,2.3288725237906168e+20,-1.8779348744159937e+20,-3.005747193400314e+20,-3.580133214974412e+19,-8.788347799643911e+19,1.4396307284328671e+20,-1.6948392973745573e+20,-7.780182902996979e+19,1.0987466485791405e+20,-4.07166482616336e+19,-2.5912747009259605e+20,7.654993703377347e+19,1.962888190600268e+19,5.608998278255252e+19,1.8451693056954855e+19,-2.960068687470045e+19,1.545371598060862e+19,1.0841980044052222e+19,1.0269179719731014e+19,1.5272281930590113e+18,1.7437194836350597e+19,4.2690557776388506e+19,7.484162552450933e+19,3.0905769015999365e+19,2.879271785866697e+19,8.118792796738835e+19,9.758691532730719e+19,7.593563243028142e+19,7.942046039582958e+19,3.1404185170422112e+19,-4.2780819111736615e+19,2.92206601151362e+19,-5.057913900138205e+19,-1.107856020416355e+20,-9.340130969782755e+19,-1.394625473037111e+20,-1.712627040365884e+20,6.13236969774235e+19,5.683141914234143e+19,-6.45671719848276e+19,-5.78469555572705e+19,-9.704942860630734e+19,2.071703217703771e+20,-1.3650658295162823e+20,2.2693991600812088e+20,-1.4167374132236837e+20,2.3376492082055846e+20,-6.803518301284615e+19,2.3970406186332737e+20,-8.7717975573741e+19,-9.035767560111818e+19,2.211599416798713e+20,8.851691666489215e+19,2.4926345925521654e+19,1.2355791886618114e+19,8.550414271753541e+18,-2.7206228407246696e+19,-1.9385036809063078e+20,2.7539982904017228e+19,1.2583818444821973e+20,6.141565191237281e+19,6.754554305439124e+19,6.349681694561782e+17,-6.780892857956349e+18,-1.73512594811785e+20,-1.5744500341504924e+20,-7.683835907266085e+19,-3.958545628474985e+19,-2.766168191894769e+20,-2.2558081969935984e+20,-2.357560345511482e+19,7.771174255724567e+19,1.0253388708551572e+20,8.709249654153927e+19,6.855676863214127e+19,2.343500995946135e+19,4.861106089947848e+18,-2.4714453496472003e+19
