PS_alpha_ch0,PS_alpha_ch1,PS_alpha_ch2,PS_alpha_ch3,PS_alpha_ch4,PS_alpha_ch5,PS_alpha_ch6,PS_alpha_ch7,PS_alpha_ch8,PS_alpha_ch9,PS_alpha_ch10,PS_alpha_ch11,PS_alpha_ch12,PS_alpha_ch13,PS_alpha_ch14,PS_alpha_ch15,PS_alpha_ch16,PS_alpha_ch17,PS_alpha_ch18,PS_alpha_ch19,PS_alpha_ch20,PS_alpha_ch21,PS_alpha_ch22,PS_alpha_ch23,PS_alpha_ch24,PS_alpha_ch25,PS_alpha_ch26,PS_alpha_ch27,PS_alpha_ch28,PS_alpha_ch29,PS_alpha_ch30,PS_alpha_ch31,PS_alpha_ch32,PS_alpha_ch33,PS_alpha_ch34,PS_alpha_ch35,PS_alpha_ch36,PS_alpha_ch37,PS_alpha_ch38,PS_alpha_ch39,PS_alpha_ch40,PS_alpha_ch41,PS_alpha_ch42,PS_alpha_ch43,PS_alpha_ch44,PS_alpha_ch45,PS_alpha_ch46,PS_alpha_ch47,PS_alpha_ch48,PS_alpha_ch49,PS_alpha_ch50,PS_alpha_ch51,PS_alpha_ch52,PS_alpha_ch53,PS_alpha_ch54,PS_alpha_ch55,PS_alpha_ch56,PS_alpha_ch57,PS_alpha_ch58,PS_alpha_ch59,PS_alpha_ch60,PS_alpha_ch61,PS_alpha_ch62,PS_alpha_ch63,PS_alpha_ch64,PS_alpha_ch65,PS_alpha_ch66,PS_alpha_ch67,PS_alpha_ch68,PS_alpha_ch69,PS_alpha_ch70,PS_alpha_ch71,PS_alpha_ch72,PS_alpha_ch73,PS_alpha_ch74,PS_alpha_ch75,PS_alpha_ch76,PS_alpha_ch77,PS_alpha_ch78,PS_alpha_ch79,PS_alpha_ch80,PS_alpha_ch81,PS_alpha_ch82,PS_alpha_ch83,PS_alpha_ch84,PS_alpha_ch85,PS_alpha_ch86,PS_alpha_ch87,PS_alpha_ch88,PS_alpha_ch89,PS_alpha_ch90,PS_alpha_ch91,PS_alpha_ch92,PS_alpha_ch93,PS_alpha_ch94,PS_alpha_ch95,PS_alpha_ch96,PS_alpha_ch97,PS_alpha_ch98,PS_alpha_ch99,PS_alpha_ch100,PS_alpha_ch101,PS_alpha_ch102,PS_alpha_ch103,PS_alpha_ch104,PS_alpha_ch105,PS_alpha_ch106,PS_alpha_ch107,PS_alpha_ch108,PS_alpha_ch109,PS_alpha_ch110,PS_alpha_ch111,PS_alpha_ch112,PS_alpha_ch113,PS_alpha_ch114,PS_alpha_ch115
1272606.150407088,1502539.3935987945,1157616.0556131299,1192787.0735940302,1136005.7449704886,1286049.1214567842,1665180.8073282975,1718074.2408585383,1998565.0690727443,1939261.467571462,1495579.8697875137,2124841.003268648,2460725.991427077,2248080.917696843,2229805.704007043,2725991.1600324404,4177352.943900655,3138206.2006076653,3252354.7163041644,4426006.827502278,4256797.208849635,4621700.55869132,3408836.1174091236,3762453.2481186297,3206691.724011941,4330012.872191206,3098908.5908587547,3101806.180367545,2591101.5191317764,2622696.400426041,3044802.096651879,2964703.9619424106,1601740.752065978,1454733.1077253884,2133908.4891175665,1616982.5199269932,2089551.061369548,3071340.998821448,1915349.846404069,1198196.3715385208,1393263.2695434848,1208609.419223732,1291612.3359316983,1102978.9721044984,1059195.9812193154,1689428.2821576572,1615128.626192666,1758302.488184232,1483760.1703821137,1404371.2636575252,2215465.3752596686,2439420.7035414693,2217845.1007878096,2089263.9601740805,2488359.6386515647,4109590.098363785,3169795.090958191,2689781.6804905306,3516917.4769329545,4503719.145872202,4322394.705207395,3382453.866608312,2532789.3881954243,2706040.133582827,4311838.518913602,2784262.978987084,2187516.9741061195,2183406.980415875,2055474.9308593501,2049246.2131814735,1752888.4740329764,1392835.2183051463,1361363.9244398826,2064251.4170097692,1549746.9629107201,2072068.5158760443,2958053.988978422,1655471.3228298235,2450662.984874025,2119731.515100964,1676084.3010620847,1842390.7149526956,1865414.1680081754,1423602.5445250804,1754287.1970601927,1590810.8882832013,1716322.124051955,1640974.8537059585,2405346.4472869663,2191836.2177199004,3376836.036685458,2889864.031025231,3275865.7134735277,3377113.760902003,2447071.9002690045,2244822.0403715377,2710828.914650218,2530639.3717013113,3010869.301860887,3187498.205131216,3210572.465289039,3113746.7130633243,2918346.412847158,2947887.553264434,2724699.7042425554,2861425.9368881662,2643119.2956175474,2063541.839964418,2481157.0975301233,2535710.59313652,2908826.1200962104,3251374.14009711,3528386.100747733,3458186.021862028,3173154.6647810615,2869731.6355519257
1979917.1770676877,2403739.3071159753,2068846.4099514904,1960243.7702406114,2083131.7202890352,2440585.3298341557,2952304.174579403,2732802.174923904,2479431.9398853076,2311813.2075176444,3002135.2045454197,2910134.670936167,3889185.2527484177,2961048.002803142,2703908.0728098666,2842662.9766756985,2704317.985751591,2720849.3627339117,3153793.691928814,3725941.343159006,2668620.4874533475,3693430.1727915793,3469774.8094484387,3235974.6772960965,3699434.740296,3956920.233254227,3351165.2958446937,2575526.88147422,2835619.9414913454,2885512.4265226563,2972873.146512288,2655308.383282683,2432909.1010358892,2654074.8585651894,2462552.3865119405,2934130.9468540186,3047299.0689199753,3645412.762279193,2539839.418947008,1742957.2270901415,1764597.0454747493,1740185.470497193,1974657.4676281575,1628831.643785537,1560771.887992248,2013098.2508056299,1513726.132185918,1754478.9464306636,1550560.4664908154,2617616.2103466694,2920279.5580537524,3727177.614542692,2145060.970166673,2634923.151513174,2798271.9002085803,3150523.7709191483,2898782.7551714005,2404620.8684338382,3291059.909136985,3970340.6995856976,4250149.6324898135,3800779.683923996,3650031.3689744314,3977939.8579904735,4348193.446700332,3750500.7368523865,2893694.2381289457,2888718.5112985778,3004177.452016307,2969055.6617222046,2848430.946699986,1898933.5925671917,1615524.950894985,2067524.1128250682,2555480.715456954,2929575.0257688956,3962103.9582889685,2045087.460353688,2544270.0547549836,2584378.9416489243,2572663.9178460534,1640850.409316181,3212578.339757989,1985207.9678634235,2705879.070138293,1783331.9825342011,2773418.5254721297,1711198.413144071,2811329.572735061,2907334.9348130943,2789244.729251557,3187828.5189404977,2769460.9628950437,3242968.1141320067,2405504.344471718,2948028.480248628,2561774.8732933686,3051451.962485253,2790687.59739204,3292575.8728324356,2386995.673619453,3024164.2858040333,2529692.549075066,3036070.4772985936,2820222.9830469717,2963944.298666685,2378183.4434323204,2406859.417756247,3002627.3804556415,3213019.849811142,3505983.195828337,3547490.731844496,3486745.6878992477,3250252.2769653504,3122405.0414832975,3048907.1399482964
4968927.92277105,5186915.064080138,4271528.171816409,3978111.014494259,2632028.3543086573,3105146.924500409,3125618.2613372905,2954280.5242446405,3714706.3545230865,3414791.920838833,3515531.742013431,2408885.762072113,3421109.436863697,3096596.8109369385,3652187.6795879556,4428187.551922247,5313836.556865089,4669328.5818462465,3434338.783193677,5809086.400464906,6608624.06424341,6575012.225107735,6394038.2505801385,6408603.474769766,6514956.263232097,6758129.530711158,6468170.40418469,4809917.161008234,3467041.222765266,3221817.8564085634,4959845.4963096175,4369774.3455645535,2963214.737388792,2577350.5027703606,3268514.496370395,4120166.3469990534,2922358.9774387656,5894100.852164976,3793057.3310513925,3562089.91725808,3285635.2351141116,2101419.138641928,3354621.480026681,1710039.8188275504,2097720.390943074,3836394.3909615036,3830223.0161535135,3260472.930614615,2545462.056867383,3889457.5243429807,2925517.7209372185,3618106.607705824,6133872.4932784755,5641172.316003683,4995205.9094068175,6724051.530695073,5410536.556494321,7635703.470906031,5549012.262700449,6645951.158779597,7013355.042652503,6316234.256010924,6198468.7564687515,6314660.215801465,6934321.346980932,5981605.297254068,6410496.336097574,6800795.621118698,7218002.481514583,7209255.396761733,6864325.869972524,4264128.471838293,4350801.244637017,3269181.3136772034,3311134.3946401216,3809696.0271053663,5526413.433820646,2883123.341010013,3491134.595400337,4785489.378474798,3379794.40856582,2324508.659209483,4884651.62241964,3082064.969261723,4146709.734186173,2375698.1287178732,4371635.2095094435,2558373.8338464415,3904748.792450153,5506832.941427138,5744229.796169997,6492842.717270823,5710665.287376944,6407059.813031121,4607877.327694388,4869688.975248313,5041896.123041959,5887890.235912547,5702556.781802651,6391447.105298244,4867305.236514632,5762682.597953216,4738091.720896558,5690933.508283864,5325341.261640383,6174589.124418967,3536189.8316543135,3862410.6661930545,5650948.628014975,5935925.832146994,5588484.238232969,5786056.524645131,5898024.124295242,6165422.194826808,6120930.570923724,5894310.968731184
2034115.7139414945,2132800.0996780074,2023756.7129204483,1995921.627853926,2043185.6312891066,2012138.1937938246,2254852.544388305,2257294.7294141725,2516394.425712366,2114850.7843747474,2016327.5056020578,2855243.1714224545,3210801.901079472,3167245.250851818,2762401.580120755,3759369.4186153575,4300082.194743898,4395244.823311067,3999357.4531229106,4308120.005727536,4036524.215564852,3060071.6747305407,3961226.718032623,4019454.3844156154,2891909.0771933096,2731730.4980417257,3185395.9703114145,3950589.7997184093,3484835.2903537275,3938499.820871063,4235715.209710913,3919060.6175206215,2056382.687952133,1999022.114028129,2928897.3152425,2072351.874577287,2964806.6896949466,3136731.75766493,2145122.057605965,2001901.7004090294,2102761.993542237,1863801.5582174356,1888232.820816821,1837588.7327498698,2124519.913211388,2318509.594201168,2246733.468065924,2713306.2631012076,2209040.566961954,1993205.0776973893,2792028.197200058,3516569.914466634,3215010.1028525503,2947843.9574718936,3812891.4345692224,4452430.5216937605,4477343.315869289,3727234.7047450733,3452153.694988882,3881475.910247085,2801092.615398033,2938331.2615153207,3201611.392289294,2718185.8896862743,2745907.016238405,2855042.056574065,3362652.537344215,2602891.1507441653,3035066.316495465,3486130.6330466955,3568140.1483332263,2670901.6334836134,2557442.7149573946,3071931.6602409077,2040612.1895365457,2929105.740918576,2971023.0737815234,2343937.4785392983,3128080.161502212,3357154.8729726947,2374152.5019699135,2419394.1244847053,2290288.117889238,2219303.4913763246,2248206.1867508246,2246526.3114491184,2332228.347842553,2289652.515035318,2570761.4020087263,2811464.4893660606,4005151.635193822,3443911.6594026103,3955977.7652036007,3530069.1625492265,3599864.0213145856,3331421.232396492,3767764.7017231365,3272659.1365342257,3836809.78587382,3268836.4125388484,4009044.641691309,3733200.826457149,3880200.9370214865,3802423.746297152,3782161.6592965955,3707284.8787091714,3412411.8060667664,3448174.6305244807,3467461.6158379675,3290819.3446660447,3036193.828605099,3159095.1969310897,3357550.0338776037,3600427.986669355,3649309.2796665556,3599669.46190089
2466589.8964674314,2562829.2517944556,2538814.542941374,2442208.7730549355,2520364.302245443,2751551.6020815074,1959423.2025045562,2106885.981694571,2224432.082185237,2373056.658705221,2124779.6332913754,2039328.507932527,2118308.1375319636,1998483.8494095611,2434000.9737012954,2160392.088092683,2333086.3024183186,2555944.524274859,2452849.0627811165,3448321.462577805,2354554.1044562557,2898243.7432693625,3366829.124780376,3911420.9016374876,3160196.7094606254,2853813.847868301,3133688.957427483,2813667.142445711,2549850.203184159,2787897.7132682167,3027406.8174279947,2910164.763403079,3013830.8825119343,3076946.407774942,3092146.3124332367,2195348.0379932625,2201586.3847239455,2490609.9522837987,2592263.057026394,2263657.8325950513,2345389.7843252453,2146909.0793741583,2183716.7913508043,2448904.4762037396,2652556.883668341,2045783.147351045,2291299.5193272745,2568117.518009541,2506367.9932314144,2062991.7881620347,1950548.9992517377,2188216.2152813976,2187840.677955417,2556598.156581288,2471913.8843063293,2320446.31636322,2409172.8579046796,2526601.8252166766,3118730.8821764514,2424826.187941721,2921222.9145660023,3169483.150422393,3691927.0850404347,3172344.6646686476,2864597.5781927546,3262135.7089800127,3164410.470179113,2575904.1070526564,2486242.133725949,2940240.5925299916,2957909.7617702293,2581268.0743930303,2523407.913382703,2562143.007039013,2224865.952972414,2007343.1828198584,2412772.4242207124,2645979.315646692,2891200.613861741,2635503.3291378026,3078087.4612872675,2528084.0142391566,2329826.549417647,2467368.5006471244,2555767.373655564,2626554.7389328065,2755865.5571358423,2595180.9675344303,2192447.2110521183,2615661.902050138,3529618.226694141,4044761.810441069,3568962.60664004,4034014.883148588,2744942.268420836,3123763.9011552446,2845958.0234826976,3291723.6123047676,3045167.1280283574,3686720.843708781,3444191.260503897,4227175.789064947,3152998.197074699,3902806.677438823,3042161.521591966,3598703.5153897125,2790305.9045503237,3371559.8168947757,2774425.923107216,2509926.226510795,2811488.0931439516,3163652.1361269495,3347471.7969113444,3371411.044987795,3255915.9566324237,3110091.9725222695
1819557.8871045443,2517884.7863430283,1547198.9607944153,1627904.6347409745,1772641.947691697,1918417.4580733373,3212098.1141157816,3488793.7125277133,4128594.6802537898,2829752.811814514,2456480.6402327847,3200776.2273824024,4619399.657068541,4792835.151746754,4922522.979872739,5743364.484805697,5308537.252223564,5784759.739700477,6235451.225984938,5617283.158760205,4895308.681024382,4919900.43581836,5124018.279848798,5439965.668346061,4460399.947594272,4738519.016292405,4554292.110108815,5822554.983347046,5756286.832048198,6189297.828550102,6429053.271158421,5856416.419564524,2030407.6696915533,1893392.0035259093,3550508.7225035937,2727184.7425362202,3836972.186394051,4366706.57324821,2688424.7683257367,1918402.229434823,2154977.113566497,1704396.3421295648,2037481.375287329,1618644.007963514,2355773.7440962484,3311420.5550246565,2638322.127808374,3074287.9148251526,2642226.5801877915,2359803.1627525478,3526910.691807811,4349615.391222292,4814130.2083640965,4017635.797955472,5124635.449287479,5856447.610077001,6027044.4597321525,3572708.473773328,5906640.399894562,4701041.872974151,5102051.1064477675,5284242.437653337,5071167.79185931,4704320.191020302,4788510.505820948,4733134.171792375,6073361.959918457,5346001.206143815,5395514.187702915,6009859.596158979,6134125.479326919,2670340.9820522107,2350878.3682278683,4027377.7681124457,2429357.328264623,4202007.082000455,4420476.501642748,2722112.7761854236,4787620.062859035,5048877.799559654,2522626.32887477,2680705.7694162372,3527973.868600151,2633570.770699384,2903879.672366566,2558501.964307659,3128793.231095056,2616884.9434815515,4538464.490365613,4822173.858521345,5497285.353117638,5455792.80504813,4808715.254454093,5075427.142407099,4266970.898520456,5384852.28241594,4787451.9610921545,5662359.518954444,4961399.80813563,5292268.3823739635,5265970.618707329,5382187.556998067,4599084.18729436,3745330.0601019966,4057925.200994668,3652985.9857078786,4642293.203965915,5193852.217088975,4147385.1431476083,4216313.496783375,4178481.0055066077,4154516.06345911,4082226.0987479542,3969495.7571549504,3962915.0655530836,4014129.63531779
1255271.288294164,1474414.558226874,1687637.6545178473,1308173.6146809633,1826963.6690666785,1336573.6512569245,1348662.3966549719,1815527.5241710376,1560547.2743568742,2270136.1906531714,1128044.3405606505,1979707.8148656408,2123868.3851833455,2126665.3278726772,1423160.8153896197,2287871.7973898174,2243011.0077359104,2653374.1762380493,1692991.2111934891,2407176.079294545,2048300.9689460096,2205555.4711616696,2799508.656307749,3068818.95385134,2708801.395846725,2260696.21472127,2734683.9464788213,2854855.1663483866,1732914.679508147,2071900.5674986136,2623958.9480912504,2750749.8986864877,1701832.4516729335,1964739.1140528694,2606709.663820594,1175191.3425977076,2246033.9654547675,1628942.0186596734,1345617.1832213758,1258223.2545185178,1393782.8087738499,1123708.2526798563,1064299.6350011185,1130207.2767317754,1455994.09752204,916950.9173023099,1008685.3123671081,1298712.0379717222,1211053.9598316608,943626.9675958242,2051329.9101071022,2095603.0043033445,1944776.3627819316,1782956.073812444,2369670.4098137515,2087124.1557872272,2124138.4366697604,2885062.978408056,2331756.390781048,1902065.5819072982,2680994.7049841336,3017118.84921484,3030602.7602090975,2719202.6452429025,2426311.0907440814,2718285.1669275416,2653660.813788848,2058031.6433627272,2390577.5173639846,2603593.1500496147,2591253.049651686,2035158.5127693212,2238305.954024812,2467788.8987527466,1022525.5336699404,2170771.078450421,1391182.6708788355,1582728.8197876203,2451603.6506742537,2421216.292564418,2022817.554420074,2033550.548769477,1533545.9320922,1196072.46063119,1307212.9567030093,1433687.910219144,1539063.3946719416,1526074.6087136318,1693206.2629294177,2065762.8033363144,3058453.903466454,2778641.328556874,3101996.624484626,2805507.8222331028,2790440.7864870448,2679476.471245172,2871889.1667819032,2681772.3165178234,3001775.1905444465,2727244.4794594906,3105422.6997782565,2789156.164967515,3090133.2189780395,2749637.0957356994,3028970.0181096867,2740925.2144485926,2916539.3336338582,2669631.6733699446,2688844.3484686897,2626739.714931398,2579087.4109060257,2701077.6404109574,2762466.3058257336,2739998.899745492,2723034.6844180133,2709323.432238635
1541950.4957172936,1550118.208270607,1505299.6797981185,1493516.5649176163,1544023.9869648695,1598743.9951586397,1707073.1618559493,1487799.5585210775,1310988.5316564594,1261578.1944775353,1398471.6548649902,1944630.823477831,1864605.756836225,1936810.6741316493,1376762.3238612027,2277628.9022042486,2062686.3323398826,2212760.2865627855,2390524.7567653116,2225898.4283832414,2013032.3484023714,2085281.3434168648,2338367.156448915,2074074.5145090127,2185534.931109103,2189920.2453411,1963602.1635882452,1529264.079034519,1487811.6515718498,1603415.9818774147,1846662.3100357389,2345861.7643318507,1905450.508758289,1945926.7934247549,2195245.397015256,1357338.3912693874,1986021.8855789213,1871667.9403347156,1408565.4294491431,1858297.6057758653,1957121.4711510479,1946105.1308623818,1596366.804745709,2106644.3473005365,2022989.856930096,1642183.2011048566,1563761.2524815006,1651299.6019316171,1685242.4766942717,1686762.5700588655,1821502.334405127,1862353.4702461436,1647362.2022689225,1927777.6340332192,1818179.74067956,2215604.393890615,2176147.694632431,2216946.6386668715,2293515.8606335064,2133034.8879281757,2502258.0095462655,2586117.9213056695,2553805.9262424447,2618024.8058533906,2371736.3770767595,2701042.9209522414,2648987.135519217,2304388.5363367186,2220309.014046636,2182546.3882626737,2184038.8070384734,2844568.2913598074,2858876.087917972,2013956.6767459891,1374822.8204828023,1672835.1246841294,1894913.596243298,2448586.985526831,1936695.2585049418,2427248.7843108606,1884441.7978171043,2511549.3492788835,1402895.8195503084,2015698.2372500387,1438338.6558888254,2333564.76636552,1566119.9247476202,2460660.0550656836,1475105.997631107,1905217.9428943496,2198949.770371045,2659834.887553685,1848109.8309190571,2854981.0655312967,1913621.3465470765,2671092.8357332884,1462826.804124741,2901292.643243236,1729141.7248009697,2987492.052296217,1976949.375858679,2371175.3598199473,1765389.4682347882,3111404.3814407913,1787735.2996713538,3119383.5353347724,2205183.5688659935,2666606.9263446345,2420002.9730190863,2093139.6540198307,2171346.423238626,2267924.716151321,2264757.3087998596,2367069.8988738023,2429856.8192643467,2448107.5155000035
2080366.457223649,2479446.435276192,2327701.613117863,2077218.864496535,2349144.9746573055,2360401.6362227607,3280532.6684377063,3220048.6326957536,2928927.5408898983,2387250.3192675645,2864796.569096142,3220582.875437783,3045662.816440643,3569379.7225253517,3258022.8601302826,3664435.881841954,4070914.8426156538,4040474.764586595,4487469.226090631,4490986.063202604,3553113.655389945,3332088.4294394744,2993600.7079812726,4136035.505160753,3121036.607431541,3419316.475348754,3607480.102077381,3671893.0308133746,3727894.324900066,3834997.802871491,4423560.2109395405,4112271.723058649,2660997.999490374,2559168.5737558734,3305142.5919127553,2459730.0316722156,3343377.133723447,3296077.7702988875,3003600.5833636364,1881489.1013710252,2130837.4648211994,2053615.256936943,1955116.7909452056,2395747.225138496,2233093.7870257455,2884492.617951133,2428142.4839356598,2780933.316350453,2424429.630847934,2724937.4447786002,2929241.2226064503,3145576.3976291427,3210252.9367164606,3116436.27803546,3504654.752545337,3448068.7501139906,3955827.322728369,3772062.324381063,3871080.841659571,3215317.072037519,3812882.3610232417,3821151.624045369,3544753.437163896,2985832.0836019525,3320207.401466471,3008194.4804667765,4008480.7821352524,3449347.775269156,3886366.0508044297,4192967.355773411,4445740.495780052,2540282.14186564,2950342.760378751,3825637.8620705293,2380809.835467756,3118707.788774986,2996740.5642544352,2381582.926391048,3586885.31336702,4062307.4646638865,3114875.5743065863,3086043.3489199686,3238235.194725546,2574380.151212018,3402099.922793755,2410533.463297704,3470687.28292055,2815982.7417408647,3604603.364427716,3700035.6277862936,3861004.619334522,3504258.04883016,3898763.7831438864,3406274.4195235283,3013663.834634756,3390413.57894467,3273744.3342009513,3520660.282041775,3581804.607767241,3444193.3249739655,3762225.200163436,3436045.5952588017,3429203.1046882723,3468078.655061338,3296864.124230857,3342210.3843330937,3150520.9107507416,3559607.4323582174,3105212.4521678663,3074406.4646590655,3093741.1631522677,3377445.080310988,3598015.8127340805,3565378.6806808985,3390967.308101992,3254134.6446501086
1535986.7461151541,1714829.7262062535,1538410.3448647987,1582690.3175775958,1388507.8829429254,1445234.501360429,2532869.8810702916,2228853.829644287,1669345.0341031346,1628397.489036718,2537015.959464526,2261036.060266736,2949079.951191672,2609648.283298444,1892149.1829828108,2814677.880652011,2736382.1118519492,2799052.277472096,2834105.6804545736,2772392.005539654,2683420.7593103885,2593159.399294491,2699282.845263634,2710354.3282810207,2495080.574007995,2543528.65708421,2631382.2712934897,1983816.4268660818,2111594.1066060127,2211595.394126546,2327341.51554435,1825008.461434058,1468175.6369558224,1390395.247832298,1713317.4301409135,1969298.8965515308,2211971.2584747053,2470563.4834760483,1590880.4864732192,1370734.4704890926,1531744.8579368028,1292139.970660178,1450075.2533232253,1373898.5026956296,1576723.7073421278,2674087.3381015114,2454554.432926855,2037638.2798245812,1994358.125276333,2143343.9287103782,2281449.3892626064,2782421.33067678,2700886.7220340115,2187699.733687881,2843066.3493042486,2667350.6894733366,2893015.883568667,2585881.3678094298,2752126.6461244724,2609651.7843229263,2483622.303423114,2526119.6350427144,2483059.4577224804,2433070.3170962585,2491460.9186845953,2441433.258898746,2482221.6572007677,2420151.5136036705,2525676.6928341277,2573449.9405092467,2583477.8159335037,2049817.9072496002,1869765.8303091736,1822906.4210723338,1867968.2790264569,2309260.3464445765,2405163.088770308,2028278.309636437,1777640.1887560857,2244037.928617982,1615179.9990727715,1542176.5823631112,2033474.6214877567,1960270.9950847826,1714564.5453346155,1910596.500323563,1777531.4207262043,1802423.541536035,2074965.5863564436,2355065.586181816,2283510.4634034038,2555363.070654322,2227396.3174965726,2520340.36374235,2101234.3209274053,2099412.710240568,2003909.4808224307,2368493.5062850406,2210045.227887277,2498024.6974466085,1979741.653022382,2656590.7547844467,2358736.8500197665,2510828.7611131337,2134726.099636862,2062057.3054830222,2156325.1611123374,1964646.8719848657,2073440.1316744622,2181945.225382792,2739875.569505739,2262233.4753272743,2280067.36541682,2225120.688073745,2157585.157430086,2115214.342860964
