PS_alpha_ch0,PS_alpha_ch1,PS_alpha_ch2,PS_alpha_ch3,PS_alpha_ch4,PS_alpha_ch5,PS_alpha_ch6,PS_alpha_ch7,PS_alpha_ch8,PS_alpha_ch9,PS_alpha_ch10,PS_alpha_ch11,PS_alpha_ch12,PS_alpha_ch13,PS_alpha_ch14,PS_alpha_ch15,PS_alpha_ch16,PS_alpha_ch17,PS_alpha_ch18,PS_alpha_ch19,PS_alpha_ch20,PS_alpha_ch21,PS_alpha_ch22,PS_alpha_ch23,PS_alpha_ch24,PS_alpha_ch25,PS_alpha_ch26,PS_alpha_ch27,PS_alpha_ch28,PS_alpha_ch29,PS_alpha_ch30,PS_alpha_ch31,PS_alpha_ch32,PS_alpha_ch33,PS_alpha_ch34,PS_alpha_ch35,PS_alpha_ch36,PS_alpha_ch37,PS_alpha_ch38,PS_alpha_ch39,PS_alpha_ch40,PS_alpha_ch41,PS_alpha_ch42,PS_alpha_ch43,PS_alpha_ch44,PS_alpha_ch45,PS_alpha_ch46,PS_alpha_ch47,PS_alpha_ch48,PS_alpha_ch49,PS_alpha_ch50,PS_alpha_ch51,PS_alpha_ch52,PS_alpha_ch53,PS_alpha_ch54,PS_alpha_ch55,PS_alpha_ch56,PS_alpha_ch57,PS_alpha_ch58,PS_alpha_ch59,PS_alpha_ch60,PS_alpha_ch61,PS_alpha_ch62,PS_alpha_ch63,PS_alpha_ch64,PS_alpha_ch65,PS_alpha_ch66,PS_alpha_ch67,PS_alpha_ch68,PS_alpha_ch69,PS_alpha_ch70,PS_alpha_ch71,PS_alpha_ch72,PS_alpha_ch73,PS_alpha_ch74,PS_alpha_ch75,PS_alpha_ch76,PS_alpha_ch77,PS_alpha_ch78,PS_alpha_ch79,PS_alpha_ch80,PS_alpha_ch81,PS_alpha_ch82,PS_alpha_ch83,PS_alpha_ch84,PS_alpha_ch85,PS_alpha_ch86,PS_alpha_ch87,PS_alpha_ch88,PS_alpha_ch89,PS_alpha_ch90,PS_alpha_ch91,PS_alpha_ch92,PS_alpha_ch93,PS_alpha_ch94,PS_alpha_ch95,PS_alpha_ch96,PS_alpha_ch97,PS_alpha_ch98,PS_alpha_ch99,PS_alpha_ch100,PS_alpha_ch101,PS_alpha_ch102,PS_alpha_ch103,PS_alpha_ch104,PS_alpha_ch105,PS_alpha_ch106,PS_alpha_ch107,PS_alpha_ch108,PS_alpha_ch109,PS_alpha_ch110,PS_alpha_ch111,PS_alpha_ch112,PS_alpha_ch113,PS_alpha_ch114,PS_alpha_ch115
1661400.4117768258,1999195.2678954669,2085787.218706817,1823354.9588694063,2189918.8136055726,1748868.4705839304,1977883.0370546698,2176437.070592341,2730705.885412166,2567201.2446258636,1690579.9276014115,2343889.872888085,2571948.2067000037,2061059.0263543567,2770529.5021737386,2438688.648053891,3485200.0247174846,2711286.030530854,2544495.732403207,3957459.1405927,3044433.0048112487,6811335.820485123,6118492.016468953,3600498.1653901385,4895298.9398886515,5207383.588632608,4542898.208767401,4176382.255901886,2709098.4326059124,2576421.6112102736,3236526.5870501813,3368183.214510457,2013732.509281082,2026236.0970663214,3050686.4179209154,1821263.1745860744,2694573.030913709,2670770.538836717,2513691.6887426707,1291716.904964894,1809909.6482011785,1393071.1303579356,1431004.0375693908,1628320.55851175,2242027.545836498,2013107.2353592282,2227203.9160507116,2378528.3163766065,1767619.132014725,1498108.0717521156,1964517.2737660126,2290020.1641263133,2078262.9098123878,2707498.389284395,2285474.8502603946,2665575.018761701,2914119.949767701,2971734.6951928516,3640290.498973465,2594827.3633318534,5882938.028621992,6025826.972521426,4064654.60390092,5080556.36557575,4648154.024052185,5341685.520626701,4668896.339325279,3008301.6153335446,3091369.4095967016,3594068.5789656728,3841535.540478394,2175366.050520545,1944603.8533127666,3187308.6253878726,1514643.7974580363,2140317.2900025467,3217299.614010088,3001783.5752255893,3103087.5595122324,2762869.8793526436,2831567.9777864544,2130368.9240521374,2570054.623144676,2529118.429493136,2703171.310020904,2877598.8180571767,2878589.7663281783,2909444.6064396147,3354833.7319399826,3116627.7360038543,4686930.398391904,5977871.280641298,4663178.41105875,5939801.765602547,4237958.783068762,4825125.47728865,4167464.819314611,5112949.1767156245,4659579.410660936,5904012.55725046,4927432.9736832585,6154339.38529623,4825198.230818481,5923100.574630844,5028184.666108552,5513371.598413551,4198098.113627541,4896925.733274508,5043505.578298435,4509975.761587757,4569627.090675922,5350135.457247032,5739895.457648644,5623558.41570481,5455332.06290799,5318455.448984527
1617034.7882369016,1827860.9631344264,1547572.4224158379,1333530.1504072677,1627353.432789257,1836203.2839325492,1553294.2945495695,1614482.8900923685,1817328.9004583554,1666534.5474796449,1168121.5967908443,1465751.917453562,1609192.7470685379,1826003.14851174,2074144.7627888334,2030796.9825484597,2073984.1769036956,2326122.842865499,2263854.650300237,2525941.990974688,2030608.2100253047,2313281.6496385587,2341371.316377034,2606838.3952820874,2478619.3020549747,2311964.2816963824,2692986.4855038803,2286992.9641666226,2161409.5412652087,2228541.33367984,2458932.4853089913,2454336.258685698,1650768.3258798257,1656974.240421028,2063541.0320467022,1332823.0441958248,1716324.1619343797,2170034.640764535,1929626.1521403042,1506214.572174948,1658902.3012674896,1297569.7516119867,1190354.713587857,1369300.4146431615,1815224.57921836,1719609.2058758866,1623948.237643173,1846760.597077017,1720920.659149841,1007403.2718593796,1539184.864791318,1577284.7374461489,1901231.4661114474,2276286.7480870183,1931317.8110229182,2422111.030415205,1882096.6992515426,2274476.770170707,2845770.330496787,2180649.121796336,2410804.1660872945,2372047.87322515,2103761.542720795,2591819.70456445,2341676.502220516,2703236.1088060956,2550059.0929689337,2308992.371120248,2221826.0666954606,2333870.3904676237,2396087.8908322793,2227379.1726993923,2242822.9571500486,2172399.2000351455,1057613.0402403704,1593109.1570863521,2128394.593916892,2138564.274126033,2038334.507641934,2058910.7069407734,1768805.8727780157,2396114.155554957,1703588.7329087104,1329492.5480242306,1870587.3301773148,2068306.8840316774,1866209.9742611693,2123297.7878713366,2275875.3599487427,2002144.8179723378,2527530.4457323975,2429917.1807394507,2822720.415540776,2390138.584660693,2282066.8519781795,2462754.3167005405,2310027.0966461385,2520477.0212091226,2486574.9657709845,2427691.8545919536,2523803.669048325,2476300.9433188704,2489246.116819572,2427042.8440937214,2458848.9343748707,2450983.201304259,2338139.9628866646,2518692.061004942,2380469.664581947,2464568.461064219,2644586.030061051,2563554.5464289156,2532805.0573121267,2521188.516190094,2459812.964152273,2410530.37045572
1448844.6470679538,1632369.5134793168,1104303.8920170895,1066352.185859245,1172740.2354156624,1242025.2698970234,1239454.4624831434,1149641.8209563142,1178210.484600585,1024046.1870409263,1028011.5568454276,1257785.630054987,1587629.4764902533,1146206.1768686948,1240697.1469569807,1504340.0421086305,2156357.8357655318,2041068.0037267595,1774316.770738954,2191161.3258867078,2172274.6725290157,2767609.5140399896,1859458.8874884725,1725166.236538942,2075491.6936153243,2782675.0085414676,1461719.1566365687,1577272.6246808304,1451924.4165980793,1322070.2998207568,1580042.4725122706,1775916.2748434078,1319571.6962090267,1482849.5130731296,2097627.4241937306,1016504.9788244533,1532582.0092809424,1589978.4690689768,1303857.9391086362,1507187.411791443,1533401.2077111627,1447858.0919430773,1220443.953127388,1471014.8312219782,1490033.3918203553,1302989.1066403477,1530337.2202316374,1569052.2746280981,1706689.5283291363,1081781.9167488501,1478734.4532521348,1682228.6225461857,1576481.5800641759,1647437.986900515,1787410.8038803264,1933111.5719924832,2096365.6912309905,1944906.0820506616,2204428.013510069,2153883.906892899,2893150.9535537628,2736029.8769830777,2330733.1457152166,2286695.7632783027,2818615.6451475867,2151230.530490046,2110601.663486257,1783363.6402434385,2036014.239520713,2125798.0523491353,1955430.4681766052,1732692.231603483,1996999.163759996,2293299.501917479,1114477.5424836858,1587467.4028964941,1825649.7277741134,1692422.3277227967,2023940.2267000375,2080804.7377142713,1858109.4790064879,1933107.0504540766,1351115.0126750334,1511762.727034399,1468587.2542807956,1593989.4508841373,1670166.6272713938,1431200.991986095,1810707.5052591702,1748557.609710866,1698007.2648199557,2289255.3302948656,2100626.2026812285,2344019.5608508256,1988711.7198558308,2230331.646061607,1573664.3934223887,2141910.4718020093,1436407.7250225248,1858650.9151256618,2083372.3340232382,2901421.2117689447,1567697.2829085935,2156610.8245437196,1428369.3636106,1750205.5563123974,1658088.5593418875,2484728.2661224976,2041213.3287529363,2042000.2932429663,1861652.0040358345,1643348.016805474,1950514.9240292325,1759387.486391338,1599432.3630969466,1540987.498992193
3401749.144005344,2318458.5490854974,3301349.846607039,3181746.9707060643,2329544.680889084,2324619.882120883,2377969.9137170864,2451263.4030812993,2526200.393536981,2570576.7213002057,2447891.7284956705,2020895.9387810854,2123275.899179803,1834513.397583785,2295872.7166159875,1776240.7450750102,2323482.437092188,3111280.0060688746,2736895.493155427,2447005.6856499515,2520176.6536942017,2843675.760798668,3047360.032105663,3355119.828812583,4021498.4499800405,2938186.582871244,3915295.4647361026,2644572.8326501977,2272367.7062997124,2066603.834829887,3557362.9923817776,3573964.705235546,2163888.762377859,2177523.339577525,3479043.889105855,2473720.8876339775,2839943.5247738515,2700734.4478362487,3008402.59204888,3478147.51143928,3483351.0603957935,2714055.290240153,2955771.282962885,2108557.8155567935,2444579.3364629433,2579267.44476628,2798839.649862397,2758889.281667401,2882468.4727740125,2474887.9132904727,2191923.8695045835,2337359.481265368,2157420.8166100183,2859190.54540465,2062609.756943699,1950106.9255973694,2182641.8801798495,2452978.5108851097,2252566.330430113,2319881.8808085434,2574032.600587768,2495896.4222277245,2643900.445293044,2814031.049108467,2578851.101968885,3219804.3230653633,3812248.781130457,3045337.873071445,3044914.0962774493,3089893.9328021035,3793882.784987411,3025458.689829676,3536246.522203498,4475183.260705467,2565337.7466051984,2716604.1381392945,2644125.494906464,3163179.375804486,2845378.7855063356,4324446.202628112,2913100.1018067114,4226756.1081568515,2351396.678477185,2660879.742128403,2759770.2728613145,3151953.303037843,2852121.586251867,3149781.7254130766,2714881.0848139287,3392907.136538187,2759925.279830901,3209356.1511664097,3487326.60422012,3344145.3360893116,4085532.39931116,4472749.69943581,3786639.1385978246,4115987.906372528,3608116.4822645835,3520501.9719634745,2802055.677939791,3528913.152007382,3600458.1641893964,4095627.660933009,3883735.6632418674,4310384.234596667,3679135.196371574,3863367.597248392,4647605.602375868,4390055.4208574705,4150107.166041619,4488660.127266198,4641576.938861637,4728266.64487957,4686575.968449847,4666064.952051865
1549706.8083913326,1470229.8047082098,1576710.3265533294,1501483.3762521308,1657128.510456179,1564512.9039563464,1544976.5340855597,1459640.7044793535,1472849.121391218,1504014.6126754172,1433852.1357417777,1693286.455604445,1829525.8495267108,1774946.8539272214,1601032.9528225565,1773904.0240313676,1716902.2578692785,1813619.8594715805,1819232.3271835383,1779117.926082289,1808005.793061568,2270462.1544928965,2570906.0908124116,2189938.534171619,2346632.3456531204,2381193.516170639,2262467.7204796234,2014438.8810070218,1778698.1619468923,1759942.3838518935,1906183.223261747,1478418.8503470502,1487296.1487734579,1607363.9547845228,1698187.9667208544,1434846.8771108082,1831165.628973302,1766023.7096047106,1542800.5898211726,1498867.9109834512,1561843.191545857,1920224.605955628,1499522.5508003323,1843672.5904073506,1836739.805316697,1515606.2343251137,1577161.183493281,1687754.0650686081,1517743.1517167499,1457167.3456230755,1698815.652518609,1796915.0523543304,1627005.2951780094,1858311.2923649908,1796785.3501008248,1783569.908218007,1743518.1878123744,1977643.6556000535,1789304.0684247285,1932744.4806316288,2080606.3515949473,2173776.599184395,2281619.1648346484,2207067.505649778,2227010.265199408,2089715.71881289,1711008.754466755,1684056.502072408,2152061.4312901166,1771149.304017652,1467830.5430505432,1560080.1222094418,2110837.6165508074,1516326.672732217,1463224.664628156,1886424.3798644943,1657076.7630026827,1784924.0033505617,1882454.6074115573,1702070.9299287577,1618870.1177984478,1616070.6965712956,1476808.9834500423,1677975.4982007048,1587132.7078623467,1694685.225143787,1579097.6391920699,1669704.286457696,1610045.4685417681,1951565.1889691846,2169398.5919182487,2022636.1361543345,2191616.871349605,1842753.619601458,2169731.4570184434,1956503.9778879166,2186150.384115874,1628384.412816592,2150354.08702414,1906819.4493620559,2105528.8185172915,1618381.359187269,2129366.429554017,1917189.0443806467,2093361.8393183225,1831282.0281701763,1912009.5057870392,1766614.809391077,2141022.7035598545,2217506.9091836615,1892366.96480205,2061607.3449680877,2132600.5239865915,1843713.2183809057,1707534.550908582,1606582.372668832
1479817.2880063206,1553037.354605596,1503386.096704478,1446053.6206256251,1562436.6183880684,1588781.3847540335,1515071.3955262227,1556816.5306173596,1536759.4607811011,1594634.0311219094,1457290.2544964743,1316283.4675013956,1532834.6053294523,1632321.7788938514,1556409.935311202,1690939.9377622998,1840306.2662528073,1882711.58840281,1789621.6541761283,1953318.002078819,1668459.1815703053,1598740.5715835001,1709953.3869463273,1678114.8914912157,1492215.3398193424,1524820.2767182358,1478042.5687343816,1433167.4314495083,1594423.2745035496,1606873.4102783422,1559810.0758921513,1556894.5000467289,1484968.5858517515,1497108.627635698,1460508.2150776328,1552042.709170815,1632271.9514962626,1644746.6075896998,1562564.12530065,1494017.363479192,1614989.6369705107,1421173.788717213,1446043.7669549286,1435242.096554205,1438410.7195110875,1525335.483398352,1660417.028832275,1755072.4676378658,1674539.571535264,1408071.6363990777,1647604.843592923,1542781.2192093553,1690715.2415994706,1776912.9842810738,1510335.7916570434,1580510.2475712996,1694008.4843775018,1309847.8419291088,1586764.4544805184,1639434.152812306,1549910.5872139495,1532702.7534878147,1436482.9321166954,1572738.3390896076,1560836.2041348834,1588381.9509337565,1826806.683692669,1709756.476713884,1742826.294341367,1773187.9462714694,1821940.723394933,1853400.8949353907,1794504.9759461728,1900034.1025114665,1532225.7524404284,1541561.9810467744,1696898.0053564764,1793198.719700378,1482692.2282563392,1872474.1804009369,1486232.5986883247,1855995.847433112,1606963.1604657504,1748832.7718440602,1587246.6820131035,1766024.01722986,1575981.4322708307,1783574.8821405878,1500120.598047689,1818778.2628572953,1541300.7355900048,1580420.3433576508,1404224.1471070729,1597235.85142846,1364910.3646057916,1915811.5440182216,1359675.722201897,1825600.248136506,1389493.80786009,1636245.1715648528,1451426.7555692964,1598459.4047411233,1497995.321597383,1351579.4681666999,1367187.8200398674,1355958.2806270218,1642901.7984055781,1945092.4664270985,1370263.9648756208,1444825.6351046518,1535067.753686697,1496550.7103095932,1494979.9775831886,1450483.95098,1376265.4592715767,1335291.3680777992
1888688.3822219635,1941957.4538263576,1837595.4466762533,1690877.4090241722,1839863.8085289816,1890387.0859044734,1639948.7866101302,1747572.5223102316,1844917.763243653,1817565.8335351453,1489989.1763798038,1324274.0325394282,1564428.80880458,1761290.512114455,1914185.5372738182,1853018.530828992,1138797.833173849,1476380.3251180314,1824752.7122899904,1413731.803443766,1244116.4460461782,1342277.7189212006,1618098.9299032828,1865918.5103671278,1528277.4017054918,1514177.3039519282,1352760.1456789041,1190050.0565791023,1886615.1107936606,1900685.9076640583,1752413.2733406378,1388216.9320218253,1966389.7046071684,2065021.0972583357,1299480.1475903124,1489268.4133588066,1561871.1360369928,1285083.9649716043,1919116.216251961,1710478.0430844564,1630104.72253769,1497015.013604927,1553003.2587128326,1346200.383542661,1267967.790927037,1288273.093505929,1268786.0011992892,1236172.7720800126,1256715.9666997949,1393361.0494250997,1209771.4890954543,1728824.9421619072,1234109.0235182,1350593.4056842702,1391278.7170266227,1932375.2143412475,1797436.678416879,1455397.8396288545,2073452.5448152078,1535973.1689003077,1406653.7508978273,1497665.8167261048,1469007.42689091,1423356.0917829585,1413061.817539149,1355340.5342538264,1303912.6037244617,1600447.4373810184,1550254.136499068,1780179.3564204776,2093031.9028259013,1297580.544820415,1387116.8613005106,1488773.8643710793,1364400.124956705,1281073.5121570018,1749554.20628688,1256133.9464162036,1947143.899259375,1802018.6660608011,2095746.8906077396,1280629.2754138643,1718684.544408787,1305843.9305649188,1936074.6323727693,1234854.7299565678,2029303.9464481808,1239620.4641281196,1977999.9948966797,1534980.2495155174,1852600.239530661,1385230.270519781,2844013.9334629313,1505493.2512232366,1180401.5486245195,1405400.5527311293,1190316.4368084653,1374334.6603324784,1494725.47539611,1332314.5860244473,2161869.6835485864,1677590.0081162928,1749630.9367186616,1600732.2022904204,1400801.6844098177,1435122.126239867,1241577.7594425005,1637906.2983702056,1356319.2355868686,1402940.6498124462,1516606.0807572613,1293179.4794171809,1373984.5432766115,1443629.6752954451,1376727.7130109947,1353420.5135897535
1584196.0796572363,2012430.5345284482,1600754.201107344,1467062.5972836935,1528192.0151097467,1771515.3081220197,1508747.734515671,1508276.0266480818,1771467.1079080552,1499995.7176875959,1450782.4940911483,1584910.8627382016,1535192.0771961182,1636079.9685556283,1565199.0271326336,1534645.8163681543,1463307.9679583278,1619130.301540647,1632908.0535235968,1469104.4885847266,1558233.4523726923,1613931.0812449816,1562999.5144618086,1470823.9466305568,1615835.8952227493,1622116.6536988984,1583972.1860127086,1568481.7356993004,1580667.6005461973,1607070.5098330213,1660192.1017575036,1542573.120779624,1677253.9429328227,1737217.3846823305,1628011.36452897,1493138.6212255221,1533124.6455603286,1584756.8384670152,1561178.362524301,1584852.4537793898,1863841.304623854,1433641.900409788,1419041.4572086264,1465851.294088789,1449461.1999205658,1454238.1422187972,1476170.0866068848,1542518.0964203158,1493300.6512671672,1432959.8605693737,1592971.604260221,1497467.5190771683,1633490.4384593244,1635093.850059436,1748069.9678192518,1418243.392861135,1768860.3110858593,1726760.642749113,1609899.4968434235,1642996.575289847,1699552.0816001364,1558057.3087773274,1636705.8579284188,1638658.2812287784,1675922.2596758197,1583315.078741529,1626639.4535212663,1721367.640545805,1737194.6322232434,1740419.2185514772,1703753.3051696583,1542108.8782189467,1611611.9589672005,1592653.6825300546,1417167.504052738,1533616.4830528223,1618841.928869219,1556259.5430534447,1545987.4878619367,1600049.2858936933,1641824.8009725378,1552195.8585132791,1513721.7709390547,1594569.616231318,1528704.3205100144,1538385.0075095757,1533660.6630473067,1476791.005823702,1474647.5185367665,1520893.170646922,1617611.9407669124,1757337.0407618666,1739744.480199792,1846746.0562484488,1628971.6201890674,1552843.7272618194,1579356.7054693538,1553665.002969634,1592757.2326614638,1607526.5594606036,1601490.6525041757,1947387.4878919069,1858874.5984976082,2027746.6632108586,1855524.4540444985,1957711.095184929,1821541.875613282,1674133.057751389,1629997.5641633,1557293.9350084967,1562985.667725839,1592020.0490048116,1640928.4616444018,1730838.7640815617,1734512.2085284595,1701519.3395814854
1419914.2247799647,1470919.8233987761,1216938.883017961,1172147.0764204743,1116927.541998806,1190186.3404028267,742433.6786116472,821328.9159222168,1074845.3796282697,1087373.5102515356,797604.0492395048,801872.3912320654,738626.7035570265,849872.7639471702,1247800.6038667199,1026149.8092172394,952912.0436377452,1208113.0992849385,1478087.2173187567,1461127.4376114698,1114337.0274269765,1649347.657133621,1613074.8029210675,1812975.1821790757,1646228.1959679457,1664535.7129112543,1569807.449113624,1532901.6823426352,1410000.085842462,1492629.3099074692,1892522.4108598474,1437227.4973672733,1008597.6965567247,1050813.917023254,1356410.4427938084,1014077.2793641078,1082697.7519118465,1452435.3865792959,1199739.556632142,1499734.6917551963,1601298.9462280346,1366791.454787724,1184720.709029369,1264219.7019915027,1572183.5507550198,856064.00630873,585441.7630598756,1154466.6500906637,1149162.257066452,700260.5615570106,604984.6329114855,716512.7415834155,913396.022230752,1385697.80291205,1007339.9368344622,984972.836721836,1317059.473293895,1844540.233244381,1982450.247274376,1278305.9491532564,2345418.3404770433,3120324.7157371016,2398870.9046178167,2343254.731458836,1986792.7595852893,2377649.1474049566,3060365.6270777513,1696031.086976708,1948419.131651321,2954965.473966271,2237167.9948053486,1864512.4839404305,1115121.200620893,1357391.400446011,894903.8860838386,894276.7005618564,1561615.4870938438,1596611.486375352,1371519.5856013421,1715127.6048157096,1278946.1077956427,1694245.349915364,1121617.5674528654,1281988.310520776,1167125.425014507,1535308.5029714403,1196989.469750787,1602216.2450151888,1235770.1265382185,1385086.0953760191,1814916.0360061387,3560066.2365651843,1972530.0052254202,2863990.2937826635,1309563.4614297778,2201405.5699806674,1324973.2418416901,2518519.912505882,1493296.890193946,2922078.5726227625,1906290.2295090577,3003693.0597333643,1804453.3618774887,2463642.970767953,1699541.766664587,2020887.1983688048,1578469.5129648752,2852848.0546084177,1770277.276908063,1715445.5337805133,1743789.5217159658,1744478.756843298,1775286.5521938207,1793565.04662308,1737028.7779408526,1754555.7376627864
3270024.4525324064,3206503.6025631945,3565657.411206863,3100240.5070093023,3674315.6341272555,3830306.0831619925,2391822.1970503237,2785260.406195665,3295958.2399505796,3475772.218229987,2117877.663678305,2588414.451260597,2437487.1344813006,3115690.25267787,2803900.2443802687,3036218.7761103897,2179277.884517577,2918599.9484214783,3082547.2655447396,2768295.0808431446,2365046.8459879477,3428070.775187937,3965124.07003368,4340490.328336701,3964841.861414965,3480282.5952455276,4137158.8101241565,3774245.893899375,2583438.927729323,2423115.00383008,2598495.42929156,3207124.1708458173,3284713.301813258,3193671.522288094,3284769.5037292675,3039157.9535329463,3223655.3842573436,3048098.6772672273,3277365.013405468,2396314.812474883,2908146.1171292257,2024042.046716371,2147790.0249831607,2797705.6194299273,3513794.712109233,2521416.923578337,2579077.6163401916,2999986.927360062,2959762.4437176045,2099978.958912784,2116179.0597862387,2228619.277804474,3301031.1212489647,3384893.9107923075,2280210.7267845226,3068081.074016673,2376309.6356863286,2935017.628197519,2774273.0535413106,3054959.97544822,3594588.150580311,3801106.7456890657,5067517.8706322005,4304398.575171651,3639918.5586922327,4532517.331277987,3419370.253325612,3089743.5389279225,2878144.3409813377,2702891.7301187683,2934085.119030424,3348793.0430191974,2748683.773000761,3075996.542911914,2512798.222355356,2572935.6879355614,3524492.437463705,3533897.972719101,2907585.354592826,2933604.0525073577,3006111.436798781,2926190.672439076,3855361.6674782564,3340448.307471949,3443701.5658604074,3545252.55945265,3323329.2990921666,3437783.1545426087,3137821.1912898566,3117983.245271248,4299327.766233641,5086930.074925591,4101181.6054921197,5214810.026624385,4096756.876469687,4066464.522949945,4041274.7414019057,4153197.6619744147,4281018.541591857,4815744.968833056,4311310.593814505,5235159.705583258,4333833.862123271,5058591.107204393,4287981.897173943,4643414.258957144,4163159.1824514093,4253228.73120659,4461405.394334484,4397711.495793834,4415871.365360065,4525582.031170998,4521884.617825045,4516940.960290284,4515508.769091688,4502824.41149226
