PS_alpha_ch0,PS_alpha_ch1,PS_alpha_ch2,PS_alpha_ch3,PS_alpha_ch4,PS_alpha_ch5,PS_alpha_ch6,PS_alpha_ch7,PS_alpha_ch8,PS_alpha_ch9,PS_alpha_ch10,PS_alpha_ch11,PS_alpha_ch12,PS_alpha_ch13,PS_alpha_ch14,PS_alpha_ch15,PS_alpha_ch16,PS_alpha_ch17,PS_alpha_ch18,PS_alpha_ch19,PS_alpha_ch20,PS_alpha_ch21,PS_alpha_ch22,PS_alpha_ch23,PS_alpha_ch24,PS_alpha_ch25,PS_alpha_ch26,PS_alpha_ch27,PS_alpha_ch28,PS_alpha_ch29,PS_alpha_ch30,PS_alpha_ch31,PS_alpha_ch32,PS_alpha_ch33,PS_alpha_ch34,PS_alpha_ch35,PS_alpha_ch36,PS_alpha_ch37,PS_alpha_ch38,PS_alpha_ch39,PS_alpha_ch40,PS_alpha_ch41,PS_alpha_ch42,PS_alpha_ch43,PS_alpha_ch44,PS_alpha_ch45,PS_alpha_ch46,PS_alpha_ch47,PS_alpha_ch48,PS_alpha_ch49,PS_alpha_ch50,PS_alpha_ch51,PS_alpha_ch52,PS_alpha_ch53,PS_alpha_ch54,PS_alpha_ch55,PS_alpha_ch56,PS_alpha_ch57,PS_alpha_ch58,PS_alpha_ch59,PS_alpha_ch60,PS_alpha_ch61,PS_alpha_ch62,PS_alpha_ch63,PS_alpha_ch64,PS_alpha_ch65,PS_alpha_ch66,PS_alpha_ch67,PS_alpha_ch68,PS_alpha_ch69,PS_alpha_ch70,PS_alpha_ch71,PS_alpha_ch72,PS_alpha_ch73,PS_alpha_ch74,PS_alpha_ch75,PS_alpha_ch76,PS_alpha_ch77,PS_alpha_ch78,PS_alpha_ch79,PS_alpha_ch80,PS_alpha_ch81,PS_alpha_ch82,PS_alpha_ch83,PS_alpha_ch84,PS_alpha_ch85,PS_alpha_ch86,PS_alpha_ch87,PS_alpha_ch88,PS_alpha_ch89,PS_alpha_ch90,PS_alpha_ch91,PS_alpha_ch92,PS_alpha_ch93,PS_alpha_ch94,PS_alpha_ch95,PS_alpha_ch96,PS_alpha_ch97,PS_alpha_ch98,PS_alpha_ch99,PS_alpha_ch100,PS_alpha_ch101,PS_alpha_ch102,PS_alpha_ch103,PS_alpha_ch104,PS_alpha_ch105,PS_alpha_ch106,PS_alpha_ch107,PS_alpha_ch108,PS_alpha_ch109,PS_alpha_ch110,PS_alpha_ch111,PS_alpha_ch112,PS_alpha_ch113,PS_alpha_ch114,PS_alpha_ch115
2135347.3905134946,2339420.3104710793,2052772.875163068,2152699.886549753,1896252.1823654126,2026949.9181905335,3523946.298558889,3647391.1684420425,4315895.206993646,3723595.084417268,3240607.861496902,3604771.4601524035,3312268.287820616,3726910.647521155,3731905.029688369,4316246.4173515625,4216773.870710166,5094346.684241899,4902487.691885894,5586679.884092608,3784843.8813690688,6023925.732765786,6076232.856172202,6199127.69332854,5291912.465896922,5910558.016024642,5269915.276650108,4486771.551915913,3178936.62763591,3520454.084248441,3809963.565479963,3589006.235085949,2576804.3548793844,2534813.8133615316,2952773.8084379393,3409887.089980774,3571042.0823811027,3212126.5710572028,2761897.254260541,2209514.8623645767,2445994.877329909,2217599.521886035,2303408.7334123882,2159384.4277432486,2297080.2904155017,3445361.823929265,3207446.4371684403,3420236.737710993,2980446.4362129504,3019597.704004867,3457298.4659322645,3139612.050551719,3077598.6001906353,2652301.4898229213,2891066.769596942,3496822.4910495877,2874475.4319909383,2462389.0714393314,3814453.949117132,3615551.2806481933,5796138.604179814,5408781.117498001,4983120.547307892,5192146.7633093335,5831937.63303603,4997034.948250098,4606653.576304132,2330658.056786627,2453395.645171065,3402200.8277700506,4188082.82134222,2547525.4391786046,2300054.931754182,3769529.632040862,3553706.1745189205,3509123.9366302392,3172078.175143541,3839317.255460559,3218810.0036392794,4426524.190290802,2666253.5968208816,2330959.8564748256,3460204.5032429444,4028890.0241803085,2795435.1319716778,4103532.567234368,2936159.650091547,4053187.5604289593,4342950.975013068,2799083.4907469535,5851972.97895773,4742494.713250753,6022569.0318481345,4835379.517970056,4669813.952194754,4779010.509474358,4965116.081075188,4814269.951067003,5415641.651118079,4817189.192073824,5688515.048377534,4767242.575154158,5094186.394526377,4762475.942942393,5016399.821453862,4834654.459122891,3620278.4715569965,4189972.012489519,4845576.120196099,4911381.306318806,5006567.697106037,5013184.435513271,4999919.873714888,5027438.047176776,5007306.516678028,4921596.772463101
1635876.0892307465,1612150.2126626964,1558914.7258478308,1639015.3007838198,1438621.3979853278,1479062.3729694157,1509424.6694886894,1605860.276581454,1507492.2446497632,1563035.186914406,1524210.4725354717,1463329.331081368,1393875.4375441098,1469977.1376417377,1524432.802141057,1455217.180260178,1470388.7898328514,1486893.8895623896,1634096.250469136,1511789.184859889,1492609.2716964346,1463747.1770808343,1569793.4549716339,1508311.867014838,1523983.5125169924,1462976.621432413,1574877.287135478,1531187.3526571472,1494952.1610669035,1623076.3513643725,1585172.8529353836,1662037.887251104,1453939.1657918575,1363602.2627386833,1455240.2077878667,1525759.6696128058,1332146.8645372519,1609604.6094298172,1433851.3030135757,1709370.6368432166,1649526.877942947,1634546.905965543,1525032.6756188753,1429806.5333474795,1499627.3520702394,1507841.3180702135,1393706.1055631444,1244700.3517808197,1456801.0805851328,1570173.5327344888,1263109.8327461744,1574769.3650839396,1331097.356761486,1431604.8938268297,1407480.569601355,1503256.1223845484,1652210.646095153,1499688.5407426776,1702427.7117222613,1551373.285957365,1582800.533272262,1641714.6980382067,1611731.2757722388,1596426.178464482,1557214.7398341892,1585097.13742432,1622695.6733706691,1660808.1741278025,1694567.6372617928,1677250.6365659286,1523371.415840033,1274781.3431064694,1397522.8235346738,1417643.8557178476,1627688.725423872,1321444.6941550588,1700142.8451037756,1265175.726869352,1396326.9293401516,1342375.9894892473,1453683.5881640129,1238767.0343633248,1487398.7167468779,1717411.452315484,1428688.9345751149,1218032.855736359,1419532.0650889247,1250406.6559052337,1378025.7499047508,1517664.5409451772,1555827.4801534873,1643674.8364367017,1683755.7850360551,1799072.6806302085,1489207.3935299907,1599443.0771432053,1497477.137699097,1611448.6738094361,1710079.8352952756,1607680.2374811578,1752558.7448299204,1872698.163749544,1827654.070144224,1913515.8864087858,1573000.910499036,1772509.1130366684,1454952.8603085917,1534063.9724126018,1543565.972040164,1588803.4783505045,1569391.4372823914,1586981.1713926108,1712483.65257556,1760125.145689922,1621214.7809169136,1541970.883681677
1745514.3483738878,1755568.5031317067,1620820.01188437,1691952.0789316003,1549192.5771692796,1626092.3041278785,1383679.1214129454,1403571.3788687836,1513690.5237858118,1460412.9331523303,1507857.6249032172,1812825.5122292347,1661686.2648160337,1815483.6209281327,1921582.271354519,2101634.5603251946,1844197.5055467787,2270828.769551092,2387795.5782742323,2325102.1155774402,1482887.9038243059,2064261.9499099036,2162390.2553743776,2213247.0897897645,1938637.6237119157,1824758.4938776994,1930323.812838266,2292411.72544059,2234344.363491743,2134224.0206598914,2216910.881649373,2522584.084608437,1573962.830228737,1789361.2756878217,2198194.2703470155,1558364.8667876706,1617227.910572889,1595806.178968635,1652360.2152852882,2017124.5382733068,2026023.3500627268,2090541.4760731466,1901194.2517336719,2042246.1130576865,2138639.921168431,1625872.498992826,1707682.7412172426,1801312.3664423134,1880500.5669778462,1656326.5538814887,1946524.5351211668,1554678.2713652889,1733716.1088584047,1884106.3501586833,2348013.5220978186,1760813.7986991764,2952619.8734706594,2553195.8929911517,2771373.420181154,1532369.487207829,2175293.291708227,2620538.2021099804,2847631.3656401485,2434263.292707632,1893875.1769119706,2444061.3337028096,3741564.213623831,2231198.8947701403,2058147.1254528558,2656843.265977307,3354556.2826268007,1900734.4644315923,2241301.249587094,3042175.047804442,1679995.9984082668,2028443.7099264571,1911707.5171408947,2028175.9372966508,1939908.7540184597,2554438.4217597833,1718487.9534552277,2005840.552603803,1572061.614294003,1864628.6580608597,1668934.3305239975,1993623.983305291,1739214.2676841605,2026918.7199714403,2210995.588314884,2244516.0295602614,2268236.4611635637,2616782.669558321,2630973.07012957,2805812.940113874,2031866.5401324828,2810709.567841593,2032748.1082854602,2937097.1672258317,2200363.7687928146,2786210.7065126714,2574951.0383833633,2917758.826900108,2699834.873336913,3018287.9850716484,2592342.1708558495,2690682.1164774606,2744023.067646489,3662715.33533725,2184187.7986403415,2032899.875760781,2009917.8723304067,2192412.352107329,2483879.749345497,2580727.083578334,2463983.300827661,2342666.3404465434
2761214.5848071473,3014035.2314720755,2623461.7852556505,2543557.123806881,2189748.589728341,1927919.6524044008,2072181.4509875488,2422104.042679614,2294649.3630473064,2486680.497492794,2236215.329243119,3231168.42244459,2200596.883909813,2870471.4599517873,2449543.540533634,3059058.639992453,3330196.3704404165,2933733.457498603,3036457.249358516,2870861.995877909,3736255.1641585813,3160419.210271277,2738821.1430875654,2668189.6832543197,3270561.77443814,3458142.7759289197,2847349.644826111,2732588.964399231,2582563.9332307624,2611169.164373941,2706390.149981802,2576795.78443394,2056898.7697911132,1892413.9654026001,2943679.6186857466,3038398.7563622417,3786696.463631157,3704647.4660170483,2497187.8162612515,2126141.3584518414,2639995.8526197416,1953708.4424679435,2314340.926068177,1954095.8512282225,2179475.392263116,2284732.9114167015,2255745.8856130345,2555528.381919767,2383829.7515892186,2153488.196916419,3555679.957918858,2615988.3398755942,2212185.940204103,2356934.7231777427,2856703.152837314,3901676.785812418,3446629.6802518438,3265705.5997745236,3400997.065631329,3987624.7623061785,3625154.096432484,3249972.8011198295,2930541.7851954713,3581196.483618735,3715700.652813658,3419898.033607402,2565964.5521699833,2632337.5332983974,2565512.2329010884,2696165.408098653,2462558.2420573854,2399455.534002719,1993047.905700374,2378637.6862911885,2513867.3089589123,3790519.581273203,3867028.201183121,2601895.9412213024,2696238.155497397,2536061.6823475505,2679372.5962098064,2314852.391858735,3280200.2002125145,3050067.425067018,2770882.0156096946,2680229.211925248,2860619.7707226845,2693759.391835646,2647761.387265723,2929363.6325470703,2854938.1526793037,2680198.8748518764,2592531.860230259,2401226.138925528,3542924.2981449733,2822253.907067775,3078196.3364132787,2659166.8104648353,2884597.2868711203,2646619.856911696,3025213.119949303,2418507.060230176,3219505.875985068,2698707.8993230686,3342536.5659468854,2988795.6754301125,3262486.8948415555,2612903.5250698673,3422874.2640024205,2754906.0686436906,3485131.0305359615,3555754.250211447,3373560.0222443086,3257460.119893796,3295488.103452168,3356212.6398199718
1799195.6840548476,1792652.1646515455,1788981.8654682648,1803425.6423456857,1777186.7868620318,1784274.2336630467,1648608.6829866758,1665144.0028509465,1687295.0198662113,1709595.471832205,1724311.775975557,1623771.1825099632,1691690.9264073095,1703569.9216772597,1751738.2464110663,1778054.264407997,1803145.8468963532,1836473.0350531165,1857130.8185267595,1861805.6497121488,1797512.4038585236,1789115.932108472,1811505.6760827855,1793486.3440230957,1754125.0454778196,1771874.3726049704,1754897.7794637077,1717135.2235012806,1828861.0802702927,1819222.327591137,1826759.1550428253,1757234.068314912,1798899.6024407488,1826938.5741236527,1765737.9305216991,1799387.6433632525,1670413.284692734,1815129.252238314,1725090.5000793554,1907323.8889084246,1887431.8428410504,1877158.2897857605,1865727.9302262499,1847495.66851028,1826240.779413671,1601651.4836425981,1622387.7831690302,1628003.1194595795,1691839.7985661738,1729214.1485615524,1603920.4144890516,1676374.0437507667,1557860.2847188388,1601507.1518186533,1595034.3316721234,1703940.7354968723,1639090.9894949864,1549925.0385434744,1684266.4226438918,1766644.1273758176,1740491.8513621504,1713314.1785037017,1626183.0667420079,1720929.6186911834,1754752.4565843306,1677769.944538571,1724873.446080277,1592040.4191253614,1579545.0487555787,1546724.9850499858,1758983.448726241,1806315.5191385106,1843286.1953687735,1825629.2342663947,1778219.8866443231,1600473.656001953,1782841.687951421,1743411.823100145,1736579.3607110856,1800180.9098266566,1790478.2382466206,1844441.932784749,1793866.3532820228,1781497.6167799393,1739485.9524443753,1764229.1339540686,1754009.7741541036,1798013.6576131366,1735466.4545754376,1700982.714674481,1770978.1984387445,1599695.7813286872,1770499.814834536,1615516.977395393,1691107.8164756687,1730600.443326661,1717018.229655981,1677842.7575116574,1746330.6814158454,1625334.9495953848,1755982.8650624114,1629904.4100305538,1748139.7941167385,1680720.3129115538,1727514.1898501068,1707467.082171075,1752727.807376122,1798533.4131572885,1683527.6432614676,1661350.0495233329,1684535.5312152905,1695159.092050784,1699473.4319076515,1697981.662828832,1691523.7992765603,1686489.2393718378
1612469.5208528228,1987523.7617644672,1462798.7702150792,1416588.2072365177,1359388.058535838,1994251.3373511527,2738969.430374272,3179763.940805458,2552261.8096719054,2676225.315530748,1847978.021532199,2316723.592193216,2025476.1724661698,2119135.502358383,3210378.7971283016,2192245.398909864,3178036.751802295,3292902.4159075315,4562691.48871827,4716026.667733554,3509440.3259654893,3921211.083805968,4326479.580297712,5510737.680625821,3871579.3286862276,4032665.9899927974,4186128.861785438,5008292.274681946,4132260.1939995247,4020933.9141139127,4391982.612331381,4574508.9786677295,2726800.629192822,2705693.8828669405,3812651.125221239,1958365.8669006736,2621530.614173229,3557939.681439382,2734482.7785119666,1682202.4601180253,2268306.7457878585,1649962.6715990638,1420318.9936925964,1453407.0302837924,1694272.9484171155,2929992.1205143365,2613434.3520093057,3012397.1674347343,2878636.8320580353,1548283.4196941294,2301323.7712029875,1939425.1730535352,2460565.5795578463,3518869.734995407,2481878.062795834,2742813.4982410395,3006067.731744608,3698748.365634231,3479690.924563939,3518259.9154285947,3956252.002344018,3823194.569558291,3960447.6807534676,4172271.9298896827,4401013.020575257,3894552.6717065307,4938189.608338427,4254973.4505562065,5059763.73902464,5529658.729872215,5638675.710752349,2483652.216856616,2841000.6653367523,4098768.42196881,1949003.94410998,2430865.3193248063,3579234.039756362,2780617.758306183,4122365.4239529753,4418282.636470359,2947377.9538497636,2516533.9784850315,2210960.9935229733,2958692.934817852,2570304.346990199,2806750.374627327,2767976.2034286843,2816189.50778361,3228333.071614747,3423202.8954992797,5188131.501388269,4847587.981972062,4954557.262954016,4718115.333773795,4386540.0930229975,4556249.942197036,4573186.829688062,4386336.027910492,4773792.92833743,4220311.635060059,4997443.791178451,4876747.483880338,4719627.5355183445,4590716.276071984,4165730.634067377,3521921.901933596,4392228.915346418,4915454.725017314,4036390.2853507907,3392117.200222674,3501416.974953867,3745899.922423099,3855295.032456132,3766842.9600421106,3718437.5933426125,3817779.6521733454
1504122.4182405297,1467418.1945211673,1399046.1157481272,1428740.2867793033,1394880.1283810742,1379519.5972079914,1256819.9498992937,1425749.9590628124,1407121.6913535215,1421749.6170221507,1310468.0337538987,1308940.715831237,1367878.9305671577,1299779.920808268,1449701.3455582322,1218243.306575518,1385269.408316771,1424637.2487872571,1447999.2265217002,1485528.4346538098,1474184.6795296555,1438106.4866069846,1428885.2198620457,1479679.3258606398,1442449.5665701872,1478303.399845597,1455507.0613333574,1505592.0926142468,1551865.3622440347,1456362.7194117599,1512857.7228935945,1439211.188821951,1393242.7956214081,1473921.8362284729,1571877.4949816477,1479705.2585863257,1448643.0041269201,1478163.8967276833,1438079.9860086564,1550481.677593585,1557234.4511089148,1477647.236023219,1550472.4988484557,1360900.06735387,1419549.4977548365,1358781.697677957,1592643.932472747,1432139.219345775,1411725.5056599888,1402575.720591168,1455607.7997408065,1453632.9684195688,1517453.8441274492,1294400.6485575887,1542706.2358068975,1472139.5623615326,1536768.0735531324,1284669.5914698371,1550301.7662777605,1508606.4733952675,1569861.1271301468,1530406.96098805,1334154.1489816934,1457096.825798917,1477172.8777345037,1448582.7932079553,1544879.171569382,1331190.7625471386,1553441.8172188427,1324319.620263492,1723050.8655343761,1415262.1224452264,1365960.5640128902,1619458.8891358504,1421176.4329090838,1541824.083817255,1484899.6233772319,1416063.8851427597,1534375.693448743,1551481.6295963426,1559337.5584184662,1593908.0432644717,1476704.9560265304,1405811.3911245908,1467463.2079820132,1426900.2344007352,1560422.985562425,1488724.3295996587,1497920.6701482362,1523515.372011934,1414045.3581815262,1496040.003955491,1530079.2682987417,1479762.9313852496,1514058.3958551995,1529827.0601841398,1495633.938863578,1504399.6278135192,1467789.5984865201,1425695.8267903721,1422746.4546520333,2007776.8685561735,1421514.45944433,1420382.9669673005,1510951.6978902905,1505532.6889847184,1525074.4570592055,1667003.7277338204,1511472.5694487242,1500304.8717869977,1474961.9748746727,1453178.4368194055,1429734.8304041792,1388232.0577740737,1443334.8566886582,1485580.5287840934
1847975.2260182847,1678478.827939644,1527624.0917530311,1466527.950493813,1523738.4365654332,1533472.4404124154,1754569.8692660641,1934192.3861805315,2218781.5006510764,1959561.738776347,1692873.36446049,1741263.5389215145,1452861.2712679869,1911464.0214659192,2378125.126322703,1763399.4552872868,1313174.0640361833,1313019.059565545,1906642.064214207,1272854.189908181,1332885.8899652115,1555071.6462736037,1756626.4129034886,2694540.3137223218,2145931.6855170634,1578548.8922321545,2461489.2815140346,2136976.1098816185,2380930.037225943,2416783.227266805,2335443.661049011,2006043.8581392255,1499329.4314974323,1619166.1261034885,1626557.8862332806,1602837.3149566415,1778956.2997972772,1407424.2263911068,2038993.9634571178,1841060.9085673313,1610915.72364529,1521375.1687690767,1672221.5156277523,1614478.4846588976,1481844.744502516,1533663.130092463,1497708.621819136,1937633.086015017,1415390.4691000981,1595294.3749379108,1644745.2233549072,1387600.0348330776,1474006.852278476,1646976.9691269689,1345473.8610623043,1136716.4902573584,1269492.2177599482,1697776.690736469,1393000.4734484777,1327563.734146113,1381781.1178321824,1496448.228840025,1905347.1874144815,1808414.8764519868,1474819.9250290054,2064980.5781842312,2358745.293643273,1557871.8740487706,2013298.7436030721,2254336.06432432,2146862.8233365053,1583078.625037927,1724849.3421876975,1956963.744871208,1638839.7447691609,1776109.3268572206,1480994.2639182128,1552149.8191039257,1683142.1455757443,2212319.0950221084,1549706.4144757944,1723897.9635105173,1632481.6404838287,1779094.4058120493,1787953.7833701887,1717865.92220544,1330028.1200866126,1612029.8184904489,1610163.6182721856,1529213.650800284,2510725.951105819,2210384.7248787717,2525405.693536024,2389855.251218164,2121641.5427781222,2214760.6567923836,2316847.230252904,2318479.8281132244,2553417.4391396013,2301787.5529399067,2345416.8758019004,2299616.9611585215,1907540.7548050932,2208726.569857967,2045692.1409378753,2230650.4030335643,1719136.646791061,2011978.6300352863,2195307.041696655,2217840.0291719846,2226862.574427254,2413783.785218711,2544524.682951347,2482141.526572333,2361417.0200791373,2268603.44324491
2723038.8743249597,2713981.317329124,3369071.766034418,3032219.8227179134,2773083.781969625,3106366.0923945163,2390615.5182428746,2488518.066329716,2719110.968311886,2890699.360008474,2390429.4647902357,2510241.821504215,2535172.5953677977,2402316.7131823404,3186367.2896347777,2711070.3992970996,2723781.833050238,2919975.5611352357,2960684.821041884,3196138.6443824624,2753834.628647482,4534965.3338671,4050919.6842390937,4657131.273774007,4475045.4047669405,4640061.412300547,4199137.754363513,5066200.024260969,3796798.4092645864,4100448.1091492297,4201322.618961548,5547299.726007303,3191249.3676982587,3225584.908978386,5354863.590385595,2491549.622787055,2819930.3517371314,2671011.9368693326,3281579.48377618,2456049.4221359123,2575692.313500142,2705664.2189539135,2697601.1329309167,2396211.517924338,2484540.5495500984,2752084.8348357934,2633049.534866156,3004366.1740157134,2480555.3592213346,2352805.7032058905,2757473.2886744663,2665825.304140031,3165725.705518096,3660882.2139520613,3064918.036991837,3155277.920813453,3126765.2387009934,3094327.4089497207,3657291.2208996043,2868591.144881933,4295751.343255682,4292902.151528829,4827748.45446833,4004697.659335968,4202970.5524144145,3952544.640209053,4278591.9867484765,2867891.34774934,2788894.687575085,3818021.342726177,4458265.95206501,2588484.9150587623,2429000.610910099,3759835.827244455,2517189.1844016598,2986369.9474014216,2733848.873959415,3281316.705859338,4790573.489662002,4182183.9228287414,3922617.4953396525,2431282.396777438,2676162.722589948,2815919.711211225,3395511.9064214644,3197866.80952783,3226083.8738499144,3183585.935386179,3141158.276634089,3313490.569290233,6040915.24170385,4803273.851375943,5652557.180180154,5028112.441088386,3950451.432027985,4082599.4781075125,4110796.3229053505,4121545.6416552505,4680440.784945672,4368088.161153856,6316567.937670468,5015960.028384236,5426741.416640706,4797102.527539012,4616648.8657795265,4552691.010084424,4723432.272711715,4162590.0671543083,3933869.3337532287,3661380.9237281512,3788084.1378510003,4250596.609533587,4628478.680721532,4689631.277245847,4499367.129708092,4269600.281997661
1559094.534285328,1827721.987881636,1559004.1561663365,1438220.3464677925,1808545.6546567772,1980912.7584453188,1832278.7512992967,1621932.046670614,2203669.871933047,2194460.653292486,1543704.2274501345,1664071.5142890043,2187440.2676033094,1928328.8248072977,2509524.9284930257,2153909.6272954703,2573813.380768439,2082740.1526508844,1951602.1935457117,2704290.755276868,2319145.2275356846,2993408.4738702076,3499215.6301901997,3486055.8197372328,3279969.146760833,2871082.965092625,3531612.086454482,3015438.6655969047,2557771.9866699013,2724001.763754009,3091882.3605433214,3703709.6233572382,2651018.1908457577,2547998.228466748,2982533.452573935,1673298.2226223024,2203086.6676306888,2353767.878056664,2439434.017937525,1515771.7381825843,1701805.5182321947,1401297.6794229425,1354432.8710992064,1411851.3712826348,1526451.1939583735,1809752.6964243876,1718847.6744502727,1801157.3323190734,1802771.4880465274,1513110.261167634,1883713.2719537327,2194700.1583826914,1766137.9544759167,1862925.7006751336,1978376.0898893706,1934905.404392527,1950045.0109607382,2157380.302564311,1987505.1440562517,2146180.7725358186,2686546.1640304597,2914638.948078408,3605051.902279451,3036764.888605505,2705355.6191004226,2925314.6376469713,2302690.955343268,1930219.6388328464,1879449.1169662287,1986548.6886194558,2252343.596652533,1749811.3762179723,2272245.594798905,2689116.9621798755,1559253.4838388476,2175297.418392172,2080359.0725774814,1734991.1920052667,3306569.0301919943,1824264.4862183572,2751064.6126290914,2430928.5086880117,1907538.1556456895,1947971.8040814225,2313698.646839278,1976440.267730758,2623068.507432555,2084665.0418412774,2398486.536690169,1901860.1746307993,4847687.785716277,3350427.8350886353,5487706.804809613,3718822.3379515274,2566243.612050994,2384963.4423125843,2727203.531543539,2406855.1450104364,4186251.3527081246,2926094.029202369,5349373.704392058,3865523.6566823795,4906342.648481833,3811595.55318217,4254691.046237199,3776085.6633986286,3276186.959314067,3366485.149528321,2500718.3534753397,2238804.0995732653,2445057.8690096014,3298873.84989603,4041684.158622892,4147600.6973991976,3703524.8744918215,3130629.5413168482
