PS_alpha_ch0,PS_alpha_ch1,PS_alpha_ch2,PS_alpha_ch3,PS_alpha_ch4,PS_alpha_ch5,PS_alpha_ch6,PS_alpha_ch7,PS_alpha_ch8,PS_alpha_ch9,PS_alpha_ch10,PS_alpha_ch11,PS_alpha_ch12,PS_alpha_ch13,PS_alpha_ch14,PS_alpha_ch15,PS_alpha_ch16,PS_alpha_ch17,PS_alpha_ch18,PS_alpha_ch19,PS_alpha_ch20,PS_alpha_ch21,PS_alpha_ch22,PS_alpha_ch23,PS_alpha_ch24,PS_alpha_ch25,PS_alpha_ch26,PS_alpha_ch27,PS_alpha_ch28,PS_alpha_ch29,PS_alpha_ch30,PS_alpha_ch31,PS_alpha_ch32,PS_alpha_ch33,PS_alpha_ch34,PS_alpha_ch35,PS_alpha_ch36,PS_alpha_ch37,PS_alpha_ch38,PS_alpha_ch39,PS_alpha_ch40,PS_alpha_ch41,PS_alpha_ch42,PS_alpha_ch43,PS_alpha_ch44,PS_alpha_ch45,PS_alpha_ch46,PS_alpha_ch47,PS_alpha_ch48,PS_alpha_ch49,PS_alpha_ch50,PS_alpha_ch51,PS_alpha_ch52,PS_alpha_ch53,PS_alpha_ch54,PS_alpha_ch55,PS_alpha_ch56,PS_alpha_ch57,PS_alpha_ch58,PS_alpha_ch59,PS_alpha_ch60,PS_alpha_ch61,PS_alpha_ch62,PS_alpha_ch63,PS_alpha_ch64,PS_alpha_ch65,PS_alpha_ch66,PS_alpha_ch67,PS_alpha_ch68,PS_alpha_ch69,PS_alpha_ch70,PS_alpha_ch71,PS_alpha_ch72,PS_alpha_ch73,PS_alpha_ch74,PS_alpha_ch75,PS_alpha_ch76,PS_alpha_ch77,PS_alpha_ch78,PS_alpha_ch79,PS_alpha_ch80,PS_alpha_ch81,PS_alpha_ch82,PS_alpha_ch83,PS_alpha_ch84,PS_alpha_ch85,PS_alpha_ch86,PS_alpha_ch87,PS_alpha_ch88,PS_alpha_ch89,PS_alpha_ch90,PS_alpha_ch91,PS_alpha_ch92,PS_alpha_ch93,PS_alpha_ch94,PS_alpha_ch95,PS_alpha_ch96,PS_alpha_ch97,PS_alpha_ch98,PS_alpha_ch99,PS_alpha_ch100,PS_alpha_ch101,PS_alpha_ch102,PS_alpha_ch103,PS_alpha_ch104,PS_alpha_ch105,PS_alpha_ch106,PS_alpha_ch107,PS_alpha_ch108,PS_alpha_ch109,PS_alpha_ch110,PS_alpha_ch111,PS_alpha_ch112,PS_alpha_ch113,PS_alpha_ch114,PS_alpha_ch115
1246357.7323065433,1589928.84177366,1290162.5290408076,1260354.9310468328,1404373.0651168623,1290457.3634130135,1608098.2145353635,1643228.6447343845,1603178.727931853,1348524.7953381178,1538090.0036210518,1724071.0947814498,1645998.466109976,1882227.9473793148,1886899.1376534824,1883568.5618078052,1621924.7997042646,1794662.9724044974,1865852.976272837,1583608.4528720658,1603012.4197270505,1521023.221938509,1927268.5090844748,1938772.4193134129,1858896.6474465136,1661939.0312774114,2185774.5742131853,2045270.682838523,1881693.4220817355,1876852.0820384934,1761440.0369147945,2084120.6324204907,1465930.4019858642,1381852.8830320444,1906209.5483524988,1631008.5507290363,1802310.6098144895,1851750.5670053293,1787806.7678822018,1576784.3641762054,1764970.342567251,1538696.874823742,1528791.4207333135,1421674.0447457107,1208758.7589375929,1734848.8922584231,1699952.6525336143,1641309.5258917203,1332767.508187376,1584744.954398811,1651494.9879519315,1662361.4449945486,2026562.4688777304,1855291.984761198,2026449.4862259878,1595297.510770021,1935367.5927746783,1776597.0812312954,1828485.416809917,1787239.155144555,1764371.9251440556,1902759.0872187403,1690003.6737738855,1874730.3239234553,1705146.7147702214,1889283.427949055,1858568.6645212779,1853607.6003632331,1796229.7678825,1993507.8701596158,2147931.5070418813,1523363.5268467958,1680807.9313180177,2191763.097759999,1758351.2392582174,1805545.0599612736,2040402.361597538,1791102.9288496198,1890031.6303982006,2207013.3829242177,1826744.8915130359,2031062.823505391,1830456.6262030373,1855447.558638686,1868853.8684600783,1849118.8635011516,2004775.7836997446,1979173.5088875375,2017396.9491962483,2269486.83004642,2089347.1307492198,1787003.7062987972,2157836.887400812,1810255.672532284,1960610.1176101798,1830315.623281108,1996917.635200662,1843617.1303342343,2099006.7322909976,1815259.0483961315,2097430.7816643724,1786246.8913049775,1914322.686223154,1820608.0092135882,1851526.8127148545,1862040.1109844123,2094911.9548491202,1885910.5291494906,1888972.1545790946,1957128.3663671871,2080166.952580438,1954218.5493392954,1856396.439549526,1863878.7451383697,1877302.2392738848,1883005.5265351795
736704.3124092389,744903.1466213892,1377407.3937958332,1372530.8405754876,1211706.8281224992,1128974.9496713302,1235479.0465368603,1306471.0678834599,1000674.7699696475,1057598.5477855578,1269722.0913277478,998220.6303320295,1238733.2363562922,947155.5978950672,1120131.4888264658,826130.4292373713,1679688.5860871412,1447259.591773658,1335464.2546625952,1515193.8610867595,1131241.0691882325,1348402.3585227048,1578551.9521015307,1715745.5147875657,1327141.5950430867,1315593.6922902886,1448980.1369457177,1483761.5806982478,1307678.6777201896,1448158.2495665827,1594254.4230994738,1525083.738504284,1290324.8821531015,1128487.289249998,1249773.2224911302,1084351.1034306264,1181409.418024837,1078988.08155281,1153383.103850404,652152.5470875927,814637.9732381023,753506.7780740822,1018390.8216393542,1021609.774181219,1054015.0335360153,979370.8123855839,1086925.0414993728,1089514.7991087437,1099695.1036734863,1087458.1427385872,729674.1907211356,907714.983687498,992755.306800261,1126127.1628821446,994177.2663016897,1101242.8819635515,1157149.5485232372,1128802.8368739148,1265611.5601088721,1098033.4678822297,1379335.882555734,1488132.9250817362,1435357.4591353459,1300894.9739770005,1353608.358890415,1548305.1053751376,1305996.823449465,1192591.0587733027,1205317.4517408563,1244813.567293776,1241807.3843643034,1121310.399104261,1006866.859277951,1191992.4703876292,1119549.5663427108,788939.7510293897,1039810.3140001779,1145277.1533025769,1392178.0073488443,1265787.3722670414,1184276.390987469,1112435.1421165008,1192315.0225954298,1148167.565841327,1202681.0841352304,1156814.4401346,1274495.2595438948,1185308.980640745,821028.6589772266,944762.6805649048,1660696.1197647257,1386491.9523879914,1707386.451672859,1497567.2121257286,1335853.2270988866,1321687.907188836,1403269.980150539,1355792.953942613,1539200.7395328626,1421279.5390378789,1661798.3970174573,1465485.5002883377,1472366.4557001407,1391596.7677069139,1398294.1138836113,1374794.3088614645,1216030.3005563323,1239599.40734664,1335652.378313796,1339822.4796292367,1298281.7102422053,1511962.43768505,1613668.9071201324,1558966.7582912392,1448429.2970518305,1372836.5417093367
2241683.153466909,3072505.1036452674,2171149.7848218195,2260453.614170725,2132262.367077783,2696482.7157940473,2837750.913340676,2876672.059140159,3341559.9797364282,3053967.284453512,2835936.8794951946,2821889.007701301,2826819.964791925,3377974.710894638,4451965.632713594,3663793.1890548076,3598492.1820418327,4013343.9963238,4949881.761538599,4737417.236613561,3387610.8614066145,4321359.784855461,4570149.836055457,5249652.550404753,4319040.7236208925,4431583.750593231,4481724.348912236,4529630.127159323,5292881.245893033,6151259.432533171,4099327.5335883084,6161854.1227153465,3435813.669520726,2815042.3099178765,4493928.621092395,3057822.010890722,2784886.9904658333,3381534.8106184965,3713038.431107742,2200644.109727097,2354048.72407042,2188557.611348446,2294518.8866792535,2101020.5927930255,2437160.206119206,2538753.4462494105,2595823.1100240694,3066635.4268549676,2588985.2769215866,2617239.9430933,2734499.684928307,2825933.2516351626,2992357.6604595184,4175476.503935014,3213413.047806219,3229339.6495824326,3593057.0099996817,4086182.115046803,4096533.1121335113,3132686.122211805,3958073.775733673,4713960.003547155,4843927.053139401,4196109.630669768,3688097.2463772614,4603371.060268065,5471256.913140425,5093668.921749871,5332086.6123263305,5727503.461911718,5579938.589779657,2835094.3233442656,2989375.643803133,4636492.767890775,2836177.0404646355,2935776.1277905926,3360156.429136735,3334902.2213366483,4655852.518212829,5025765.436970548,3762447.279392342,3168835.4523703065,3535338.2243571496,2971183.5700062,3757245.898394205,3383804.294810958,3952682.830003698,3462455.8656708593,3886340.955168953,4419192.226803869,5083265.829786217,4717535.106685893,4896778.562155339,4855047.399539044,3762282.955745904,4766875.187626015,4072236.9759287266,5007084.19307921,4524706.806353385,4948903.73850032,4754614.427158386,4535829.009481693,4273709.703719837,4153740.594352266,3933404.8201162685,3887674.8026275323,4463615.298083672,4953234.36722258,3902482.2244542143,4087585.954416885,4105417.173518901,4185274.7287599957,4198633.058208781,4101160.565946433,3973071.279355718,3909792.8708871873
1959395.9844502376,3110213.6987901432,1940204.018909262,1927700.6659233188,2207834.793389657,3136412.6208908176,3055761.856978946,3177505.304450248,4007571.158533633,3503399.2649964453,2956830.513294991,3104699.2256204253,2985507.4484367925,4155313.171125352,5063200.952282914,5060094.921206775,3819526.464960632,6144901.74036648,5855049.73079092,6427212.5125152515,3624763.1651311405,6576693.492334176,6400297.609438431,6740084.6530762315,6894472.892218815,6104824.275756278,6161028.330532845,5268258.685122224,5661485.011013092,5850192.827277159,6524053.3126596715,4994212.077836244,4098946.375644919,3884440.8555212705,4626217.553047549,3265681.6406661924,3304861.554331764,3413613.3141193185,4591467.931527381,1680693.424152375,2450717.2239858033,1638444.0676236586,1752697.3269299238,1878975.0282751722,2549464.0600523204,2915647.4234572607,2550999.359779323,3207566.4338481138,2361111.9647236983,2785246.0340114343,3230601.137585705,3363220.9418259626,3381409.788338757,4386826.680423621,3177461.2678831522,3710208.818330859,3614496.500395259,3623208.540641958,4502223.968906764,3545770.9409406753,6253053.099327783,6416234.334765799,7032580.445702013,6240961.275788375,5998924.703256662,5893813.126499955,4040836.8735477393,5034574.93294518,5227134.266958298,5834379.636551796,4939778.999592946,3301099.9824353284,3031870.0070727565,3468100.7394531937,2859290.240054015,3477641.175371319,3768203.007184399,4042858.600257942,4965251.625893069,4239552.214421339,4877981.939065531,3341739.8233565497,3897710.464457945,2889313.7988292356,4631885.772097532,3803753.782405093,4944843.971822437,3533019.71876441,5008395.4565040525,4876660.594071053,6465383.837575785,6127492.501975539,6103187.185328047,6689296.115574526,4997167.786174317,4078540.3841232867,5324874.532914328,4384429.9908826,6115112.7792295795,5206541.510406999,6205723.139616871,6227974.314371158,5914316.2891795365,5675845.7642104095,5321247.54684343,5161932.379824093,5297124.196024025,4639555.189973824,4676922.473424573,4547765.240822947,5275038.525693029,5881161.123911545,5969208.230972086,5581233.539286377,5333907.827869051,5103062.28277176
1406880.579003441,1438826.1028156339,1349172.7123380592,1441955.9141618141,1278636.0301822387,1208157.935612853,1429151.6445176543,1290137.0142749783,1256364.4246179475,1230296.054714859,1480956.1054283436,1460257.8053651156,1677718.4593058168,1480492.7138739824,1574586.2896480365,1510198.4207143148,1770200.1235692247,1544383.7346295603,1542831.7869945355,1604675.7871406998,1867487.151416658,1991689.6082212152,1820513.8234033866,1833248.687884834,1985109.8647321258,1924962.0200145855,1965742.6281500456,1794875.9364090739,1655403.1466158787,1612247.7459805754,1626189.5894452143,1660362.2309761452,1194293.1065929907,1192618.9570240872,1549044.2000440473,1501230.5177552025,1662379.6466891812,1749771.9572870107,1326170.4585130962,1556101.2069740116,1641529.1840548178,1588316.0425526055,1547617.9912792295,1659778.6229017251,1773325.1924675957,1637625.5500754137,1661721.5751175254,1722666.2352663525,1737113.5060751361,1534632.2842280986,1507082.635730842,1546704.340495168,1645442.6307285165,1536045.4579110579,1651373.1223593105,1582150.1161500849,1764855.9308134606,1691459.7143036101,1871036.1826747884,1651434.2413894786,1486993.407629616,1350171.8211041803,1760371.5508948872,1600176.433707155,1561437.668632934,1653865.6830536209,1884688.6770296858,1625417.5571768736,1512922.0407569553,1604455.6318094663,1728351.8346698817,1577251.7410828476,1542556.5949890395,1615953.014588113,1544556.7608843234,1529669.896279138,1634568.2968862841,1610052.578371464,1703327.9669763974,1576898.0100436416,1305071.1751045727,1548803.4243828505,1509297.3708523675,1615562.6101676167,1305982.8233704257,1626044.880752263,1344781.6495017058,1613580.9830849255,1704373.5971093504,1690088.0794939855,1930483.176396722,1965551.8857259103,1983469.6802919724,1959857.666703107,1673136.7011142261,1794656.4006004445,1781316.2918888254,1853359.3848772715,1885868.814418061,1876476.6627647872,2009094.8943597304,1944658.3910115499,1864380.0809844998,1837317.7067178853,1689009.8973174985,1716775.5281462562,1608809.2878298988,1793670.1196735871,1661152.445509104,1651148.229870452,1721728.5896483809,1710361.3581053847,1712933.8767435283,1674312.6868609542,1669748.3731321872,1664583.0075343642
2446581.69335647,3636835.7881507096,2076297.98379815,2146067.669889501,2035545.6458821637,2673189.4864924503,2978149.4962860383,3024038.6826297413,3421056.280356248,2987923.7159152334,3059160.7566735228,3881318.5146137658,3963503.7021962437,3112964.316198771,3790019.818673142,3905690.8477313155,4112804.271527224,5232981.261349633,5394943.123977001,6279119.248084655,5074520.767253852,5483561.727462622,5709585.690393589,5792213.615718416,4720601.981518275,5513621.033330147,4182441.5871595247,4292710.109315852,4460232.366970483,5016526.608875941,5368476.626591205,4209495.8514884105,2988516.139466138,3231308.043583071,3486626.1511568623,3277810.4987766277,3760418.6119949846,4480964.5538145965,2948104.055697217,2238757.3296112786,2562278.300194579,2126630.2180989375,2202093.4494368616,2008841.333330036,1838349.9991398193,2704538.615620233,2434085.7320072236,2507475.2681614268,1942470.4351024686,2082436.0098418836,4100274.802990621,4442747.611377037,3273522.926742583,3503733.3227868094,3589685.2473069937,4953795.323713211,4513658.895898471,4273845.2867511185,5831000.009190968,5570686.543370601,5337297.998744695,6409033.706673702,5402708.879533622,5107510.22334467,5487364.447119056,5364140.626193088,4382028.442018165,4440716.433029373,5180006.918176992,5287997.204316844,4187848.133024935,2446175.0664162273,2718032.8961227066,3698987.5177310714,2792390.490735723,4370682.407982278,4685137.0636482,2801473.537696323,3665149.731244605,3847836.8542509177,3196516.100470363,3250113.0550500816,3506359.4737175577,2827319.765587296,3170662.270434478,2822880.683701085,3516397.1412188956,3061609.200158317,3396236.268039345,3877694.081999327,4103960.269954297,4149970.806113241,4670519.923655227,5250095.417936551,4662594.431749598,4700676.351468801,4328016.19512171,4902254.958969756,4368302.498356373,5526459.371815198,5118929.229625671,5440421.063203798,5377842.440252877,5560696.594579085,5681303.731592195,5589757.601657894,5001939.4132684115,4641554.6795585565,5087993.062560685,4754719.846076078,4700142.038701628,4981497.746580588,5160126.212135852,5360689.309380721,5447694.307877419,5392227.559702852
1264979.3629621633,1420049.8248345947,1233159.1691946953,1234141.1522217272,1245679.3402542938,1406842.8005049564,1482549.3622559558,1574187.8881245262,1499007.7085637753,1560235.7526900778,1509141.6789525643,1517629.5134622778,1399327.4945499853,1435824.3863755653,1288984.430690534,1327983.9699219998,1502918.5482325456,1527165.5727010143,1404383.3519802713,1519292.2561969243,1668257.8165309832,1694635.0835336214,1839158.0479527805,1871041.7781997889,1541582.2151900397,1496398.2483475418,1741525.9854634192,1796063.6085975731,1435712.1615500606,1419918.3458647728,1518869.9071208057,1497112.7217578036,1506451.379867211,1461486.530013301,1547426.8730575913,1448108.807328712,1465793.70085718,1598145.9528325887,1452076.4196418119,1222698.926798566,1397547.6820119608,1189594.267146939,1290292.9315627762,1409143.3902212128,1444120.2521333508,1372754.809738038,1533549.2375722816,1277831.0281993255,1533307.6068024938,1402371.0752711906,1626174.0633456109,1425544.7789230337,1477952.0792816624,1681792.5264980015,1659332.3247003215,1657024.6419079073,1818706.2186802211,1657670.136885738,1682028.461417513,1715688.5340120287,1558385.1868285616,1903372.1071016754,1923242.260106636,2172178.806133336,2198625.984800941,1678199.4422997131,1720022.5065420177,1940739.6811119171,1863500.327862865,1961345.5203546823,1920215.771176448,1637618.4453017293,1739618.9271079993,1851731.5004959146,1503792.012987614,1548077.578263426,1926565.4054906925,1645745.0470052657,1599492.3996572117,2001278.5153270175,1417917.3588951733,1842895.0682560457,1528438.0962650157,1604246.7744589208,1474813.7154935834,1732463.6670306588,1436073.2677706475,1762689.046024136,1486495.1152096223,1851942.1566375978,1958010.6992220369,1761643.4850659817,2045554.8370508705,1654591.2859655204,1822465.038707426,1382039.1818568937,1844497.0307365358,1355780.242841081,1913314.2716735613,1458014.2633823177,2033791.3076023993,1662622.4677088829,2021006.172205145,1561001.0676171097,1988169.404705244,1775648.3471254974,1815420.9403895224,1416407.3038126884,1762401.600751759,1637782.2538198945,1549551.1363349713,1562413.4497567513,1599958.0813027273,1739778.9424058746,1805378.1515409949,1817539.0532399889
1356284.3098252064,1378945.6218630937,1331872.325519288,1292280.2180644334,1333479.5023546147,1406623.5280426445,1210111.656310214,1227093.3007722744,1324396.6099589532,1253246.748391724,1222507.7409679857,1404462.6044692546,1393296.949897367,1342925.4639300164,1223331.1894309018,1324438.4505040941,1349791.3313488034,1337291.4911908633,1343243.559618614,1344326.7506390156,1359703.4212794534,1298185.625315008,1306826.4123848795,1286029.4083767456,1258064.289688381,1291049.025714937,1262913.7002495339,1232788.1225321132,1284519.0563946723,1301697.6934759691,1307008.388524301,1235637.7587028746,1488270.8895745906,1466425.987813369,1476479.5227210997,1268708.5035673014,1394740.5854546644,1330824.9578144916,1342154.8578385576,1338281.1287020035,1338195.0741823888,1284075.62980637,1275304.0949070558,1205934.7579264976,1244363.3725685393,1195924.8658161557,1192965.778865234,1203346.12639832,1199465.0004554936,1216704.2088780974,1358679.583616531,1407895.4164639811,1244572.6756149316,1236853.1881658125,1279455.8916248402,1393960.3788362225,1297746.9167009885,1272816.5674980402,1307842.5883642444,1384928.526851082,1376458.948630894,1365547.2713400612,1355014.0363610133,1304538.667431957,1339919.1229331072,1286058.1382299368,1348039.4801862093,1280876.59609992,1271296.4658638304,1286223.4901085307,1306375.5451864381,1255537.8538628262,1308389.1249788278,1326335.5277143961,1258109.4626228076,1363264.5694946183,1356233.6171349382,1220393.915213427,1245050.8923523193,1286076.2986478882,1482367.4259802194,1293329.821146501,1235032.7224257295,1276556.3884694406,1383749.8111977305,1235764.355059228,1429631.908377133,1254734.1343695477,1203069.9106946196,1253014.1451295495,1238938.814138969,1362367.1910938618,1255396.621897172,1367127.5898110115,1366942.0198989296,1413797.3011567472,1241594.2811480046,1407685.9346643342,1233763.7627016471,1391055.3437704688,1292394.961930958,1361082.1536186882,1329693.396594153,1380658.9944356848,1389416.3110261336,1405184.1275314146,1429637.0759688178,1372232.5110069872,1415381.2219814605,1312211.2337346955,1230994.3148828612,1235342.3060389129,1262990.059660665,1328701.3020986607,1367619.3557885261,1396661.8626591659
1670843.8258350142,2139065.286019359,1626484.2650552494,1749133.1865189099,1627785.3665763799,2165024.5954932915,2233047.779697893,2306504.0363357994,2300820.681949469,2528734.148048263,2270881.8861621427,2129671.633873569,2091787.034619692,2064303.65423086,2662809.3821374564,2213285.6659102943,3139390.9092289372,3027660.3777911174,3288816.8551363205,4090238.595039152,3104881.8671132736,4762723.078300956,4686727.4383140085,4239328.897580268,4831568.6116443435,4711489.462901563,4405354.898903863,3266951.5786752044,3603518.5325503806,3840818.747364717,3594185.012597751,2934110.5351993116,2214462.619532242,1869665.7484388119,2435651.598566715,2586629.5560901696,2146278.5641075247,3111536.6426229365,3001633.5417553745,1706971.6103637938,2162840.156809809,1548544.2516915002,1833754.531206115,1616265.300283164,1985702.7213631768,2006599.678820224,2239484.294000057,2488569.5998044093,2769141.574992748,2118889.303016601,2069088.2846423688,2068910.9306009174,2491747.193332843,3263232.1150802234,2824210.5787719907,2719273.465503242,3209535.392841707,3394206.4441527943,3709586.5584352924,2954919.0930262012,6284031.849803484,5862126.25146283,4495804.615711185,6115176.784317102,5866594.287338067,5378683.495515025,4548732.737951885,3972075.4397342433,4123855.546141084,4306812.20194288,3873677.8535121195,2826969.7499599503,2412969.41154843,3194373.2380943755,2355284.452160172,2247906.893568941,2995681.1902039414,2936623.4202984264,3192967.4040606255,3361852.575864024,2196871.9596374985,3092109.655659291,2975800.0934696547,2740848.5244393195,3184500.296179986,3015388.213388424,3513577.6788263614,3216249.145671796,2538179.59393429,3168192.2814774583,3595833.096567583,5548288.051718321,3955754.710483621,6098752.860283504,3097291.669317936,4411190.30927155,3245813.9727364276,4894767.611953382,3527194.5697365184,5711514.053172048,3392201.1504694484,5536764.947562134,3291957.050273485,5824824.563337646,4173562.5049732234,5519086.979491386,2765670.6425563204,4153173.0457704156,4172668.0373621336,3850599.228754643,4138300.818357515,4671384.002115719,5007762.844964026,5123834.980181588,4963892.27580252,4670948.397719838
1957180.9462620178,2749057.8705525165,2051148.4426326999,2001034.4876796964,1964039.0049019004,3133604.1056620097,2482190.70465,2802602.290897098,3210243.362428206,3208562.0021954793,2972314.741228346,2696590.308536268,2738211.4453078555,2890859.6468244423,3292017.355670665,3257373.522514473,4760102.629780358,4028944.5026389775,3736054.2594925584,5361556.062363845,5509576.815660127,7168617.983511579,6267323.999608593,4857467.0752707515,5396843.796932943,6530095.272810484,4627772.409087717,4725038.076350255,3495142.5466370177,3565281.9034564234,3985761.1323807347,4294632.246066181,3977357.362945597,2581748.594512245,3567798.3619329724,2879681.311167656,3562587.5235653226,5326769.5792493215,3225926.9123653844,1997199.6527700461,3614829.298244429,1867305.470837869,1909594.402510842,1785922.5825014452,3082711.240882525,2848105.228915987,3326027.824888405,3353201.942515943,3881956.6427663835,2674233.52390019,3101356.93165978,3146541.214315978,3040475.773748498,3286841.882200692,3280904.227571635,4566789.094599481,3720138.398548394,3315459.4926299555,4450352.717762807,4918805.338772242,5786690.804132916,4838183.3470822,5016047.309791863,5144917.191611544,5810568.711366234,5097983.5365390275,4614796.311561715,3536422.585334971,3667987.5153894406,4696538.732523392,3935283.845710986,4488961.9224794805,2767520.7591501535,3246530.9999922384,3016136.7205842133,3532882.201558572,4633835.595965648,3629680.9333525295,3438160.230228826,4076922.6026646784,3571534.025043067,3595470.4019484725,2677938.3734321236,3283249.157409835,2933845.3383324984,3529396.715012241,2840926.5625215275,3800201.306852147,2862632.5150320223,3614853.3192926687,3963096.392633207,5367613.0879691765,4112415.9940474383,5755019.651125105,3363801.1598517224,3977219.4092978598,3845146.4229810596,4608547.833555366,3736814.823214419,5391222.295663206,4560696.824044677,5268413.042249619,3476420.2589304633,5252192.819818111,3488211.348977189,4461929.8871191805,3613326.136978563,3895399.727253995,3737592.2409245353,3853475.5866216505,4141938.4223796967,4455080.132321036,4617097.278471801,4497545.19053153,4273994.999903545,4038553.943602279
